,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
GAS5,0,-14.3500483735799,0,0.889,0
SNHG29,0,-14.2100530047476,0,0.875,0
SEPTIN7,0,-13.7209932806836,0,0.813,0
SEPT7,0,12.7942950000852,0.799,0,0
SNHG6,0,-13.6957472443956,0,0.786,0
C6orf48,0,12.7385871605505,0.771,0,0
AES,0,12.9335132551737,0.745,0,0
ANGPTL1,0,-5.89262520860378,0.031,0.745,0
TLE5,0,-13.319980248593,0,0.693,0
NME2,0,-4.01321853243163,0.152,0.837,0
TOMM6,0,-12.9796708912817,0,0.664,0
SEPT6,0,12.3052073272356,0.657,0,0
HLA-DRB5,0,-3.13992690569907,0.122,0.775,0
CDK14,0,-4.31182104428821,0.188,0.84,0
SLC35F1,0,-13.9315333753032,0,0.643,0
SEPTIN6,0,-12.9801519941712,0,0.642,0
FCHSD2,0,-4.05910852004851,0.222,0.848,0
TBC1D5,0,-3.94143778744832,0.18,0.801,0
BACH2,0,-4.81227815344531,0.117,0.737,0
AC079793.1,0,-11.2393386014525,0,0.62,0
NIBAN3,0,-13.0778453048999,0,0.62,0
AFF3,0,-4.17672100049523,0.32,0.936,0
RNASEK,0,-3.54599339086642,0.134,0.746,0
SNHG5,0,-12.8611926098785,0,0.596,0
SNHG32,0,-12.6716634193076,0,0.589,0
LINC01578,0,-13.017072511813,0,0.587,0
LRBA,0,-4.11046986390217,0.118,0.703,0
SIK3,0,-4.82234356614281,0.113,0.674,0
VPS13B,0,-4.51746149635935,0.072,0.627,0
SIPA1L1,0,-4.09068477913321,0.112,0.665,0
MINOS1,0,11.6255692061865,0.552,0,0
RABGAP1L,0,-3.81363588882983,0.259,0.806,0
OSBPL10,0,-3.37476254807807,0.326,0.872,0
C8orf59,0,11.6116797647861,0.543,0,0
MED13L,0,-3.59790942376123,0.159,0.694,0
TMEM131L,0,-3.61708697272102,0.132,0.665,0
AC120193.1,0,-6.02324935977593,0.017,0.55,0
MICOS10,0,-12.3305929353905,0,0.526,0
RFX3,0,-4.77883696466405,0.064,0.588,0
EBF1,0,-3.3515283426877,0.301,0.82,0
STAG1,0,-3.43133982115406,0.162,0.678,0
AP001011.1,0,-11.7899982690957,0,0.516,0
IMMP2L,0,-4.8814585715456,0.061,0.575,0
RESF1,0,-12.470418444712,0,0.513,0
SETBP1,0,-3.39487843997414,0.161,0.672,0
PCED1B-AS1,0,-12.3411977708257,0,0.51,0
ZFAND3,0,-3.95778472937301,0.094,0.598,0
KIAA1551,0,11.7047298467861,0.503,0,0
DENND4A,0,-3.63281347088738,0.188,0.688,0
OOEP,0,-8.36761136692276,0.002,0.5,0
SSH2,0,-2.934172507387,0.263,0.761,0
CAMK1D,0,-3.02632993842408,0.3,0.797,0
ELMO1,0,-3.23808753874406,0.171,0.668,0
PALM2-AKAP2,0,-12.6469499051607,0,0.497,0
SIPA1L3,0,-3.52624777422762,0.131,0.625,0
COP1,0,-4.0138494394659,0.078,0.572,0
ARHGAP15,0,-3.4518084068391,0.442,0.933,0
AKT3,0,-4.51242102189815,0.056,0.541,0
TRIO,0,-3.97248510613214,0.079,0.563,0
RBFOX2,0,-12.1685272847306,0,0.481,0
RBIS,0,-12.1644757196326,0,0.481,0
CDKAL1,0,-4.03935070071078,0.07,0.548,0
FAM129C,0,11.6414774815415,0.478,0,0
TCF12,0,-3.58051031686482,0.123,0.6,0
HDAC9,0,-3.45987646118233,0.203,0.678,0
HLA-DQA2,0,3.90508605914667,0.59,0.115,0
KHDRBS2,0,-5.23980858013406,0.042,0.516,0
PAN3,0,-2.9260823660835,0.236,0.709,0
DIPK1A,0,-12.6763104589802,0,0.473,0
UVRAG,0,-2.82893895819314,0.32,0.792,0
FBXL17,0,-4.33815603459806,0.064,0.532,0
AMBRA1,0,-5.50902885987959,0.017,0.484,0
TBC1D22A,0,-2.86905619034365,0.253,0.72,0
RAD51B,0,-5.30037110137583,0.036,0.501,0
MAML2,0,-3.75027209374287,0.129,0.594,0
SEPT9,0,11.3616078133708,0.464,0,0
