,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SEPT7,0,12.8076585387001,0.799,0,0
C6orf48,0,12.7519506991654,0.771,0,0
AC079793.1,0,-13.0989606319783,0,0.757,0
AES,0,12.9468767937886,0.745,0,0
BACH2,0,-6.1953338569374,0.117,0.826,0
SEPT6,0,12.3185708658505,0.657,0,0
SEPTIN7,0,-14.0162280907796,0,0.64,0
AP001011.1,0,-13.485839128628,0,0.622,0
ZFP36,0,3.04426276795065,0.754,0.149,0
JUNB,0,2.83383799403483,0.863,0.262,0
AFF3,0,-4.69001990361213,0.32,0.914,0
FCHSD2,0,-4.70675065494858,0.222,0.811,0
PPDPF,0,2.07561216824708,0.809,0.222,0
GAS5,0,-13.9559862500822,0,0.584,0
SIK3,0,-5.04453994189047,0.113,0.685,0
RABGAP1L,0,-4.62956168048748,0.259,0.827,0
LINC01619,0,-14.4227168368451,0,0.562,0
SNHG29,0,-13.7261945504287,0,0.559,0
VPS13B,0,-5.35192964606196,0.072,0.629,0
MINOS1,0,11.6389327448014,0.552,0,0
LRBA,0,-4.83250041448321,0.118,0.663,0
FXYD5,0,1.79198366126728,0.88,0.336,0
C8orf59,0,11.625043303401,0.543,0,0
SIPA1L1,0,-4.88631629327477,0.112,0.654,0
DUSP1,0,2.33746574355976,0.768,0.227,0
TBC1D5,0,-4.46717166955369,0.18,0.721,0
MED13L,0,-4.48035207322681,0.159,0.699,0
ZFAND3,0,-4.99969591890273,0.094,0.63,0
IMMP2L,0,-5.77673830542683,0.061,0.597,0
GPSM3,0,1.3679286165128,0.851,0.324,0
LIMD2,0,1.66348570591752,0.924,0.4,0
HLA-DQA2,0,3.88534905115346,0.59,0.067,0
LSP1,0,1.66847339724389,0.849,0.327,0
EDF1,0,1.36713143152412,0.85,0.331,0
COX6B1,0,1.43827922303819,0.84,0.321,0
AP002075.1,0,-12.2321172604648,0,0.511,0
HSPA8,0,1.54252582371275,0.862,0.355,0
CD79B,0,1.7536163269726,0.969,0.465,0
CD79A,0,2.34140798181758,0.988,0.484,0
JUN,0,2.49192827282439,0.812,0.309,0
KIAA1551,0,11.718093385401,0.503,0,0
CXCR4,0,2.52933922515059,0.818,0.315,0
EIF3L,0,1.4438676682955,0.814,0.313,0
SSH2,0,-3.92836179491355,0.263,0.762,0
LINC01578,0,-13.3673181666803,0,0.499,0
TMEM131L,0,-4.31362271139184,0.132,0.627,0
RAC2,0,1.41709027637282,0.869,0.375,0
CORO1A,0,1.52841101901957,0.946,0.452,0
RAD51B,0,-6.24448473559244,0.036,0.528,0
MAML2,0,-4.6540494585122,0.129,0.618,0
AC120193.1,0,-6.88351162509214,0.017,0.504,0
COP1,0,-4.93870617740581,0.078,0.565,0
DPYD,0,-7.06328450567307,0.025,0.506,0
UBB,0,1.5819045193778,0.96,0.479,0
ARHGAP15,0,-4.24748472768105,0.442,0.92,0
FAM129C,0,11.6548410201564,0.478,0,0
SEPTIN6,0,-13.2947837877497,0,0.477,0
BTBD9,0,-6.06503576243818,0.033,0.508,0
ADK,0,-3.91768884676937,0.331,0.804,0
