,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
GAS5,0,-14.9619230068006,0,0.824,0
SNHG29,0,-14.7119295001829,0,0.773,0
NIBAN3,0,-14.6805234005651,0,0.768,0
SNHG6,0,-14.563618857473,0,0.742,0
SEPT7,0,13.9032118978985,0.731,0,0
SEPTIN7,0,-14.398717955144,0,0.72,0
SLC35F1,0,-14.8953365711624,0,0.709,0
BACH2,0,-4.82064789884834,0.285,0.973,0
AES,0,13.9974445688797,0.686,0,0
TLE5,0,-14.3769548018713,0,0.685,0
RABGAP1L,0,-4.19640079728492,0.164,0.834,0
FCHSD2,0,-3.93863845762577,0.233,0.891,0
KHDRBS2,0,-5.00825179779756,0.072,0.728,0
C6orf48,0,13.5838283307941,0.646,0,0
COL19A1,0,-4.05813088874457,0.18,0.823,0
SIPA1L1,0,-4.08902413844781,0.142,0.775,0
AUTS2,0,-4.27290540061748,0.112,0.739,0
NME2,0,-4.16502189561828,0.074,0.688,0
AC120193.1,0,-6.03947511153996,0.024,0.634,0
SIK3,0,-4.48411885459862,0.1,0.703,0
TBC1D5,0,-3.74624870185791,0.14,0.74,0
AFF3,0,-4.23929394808159,0.386,0.985,0
CDK14,0,-4.49273650520452,0.082,0.68,0
AC079793.1,0,-10.4137634686953,0.001,0.599,0
DLEU2,0,-4.18035001350137,0.096,0.689,0
LRBA,0,-3.99128442949918,0.1,0.685,0
PRKCE,0,-4.29333964830653,0.078,0.662,0
HLA-DRB5,0,-2.85564743273278,0.155,0.738,0
ARHGAP15,0,-3.50378749353,0.36,0.94,0
HDAC9,0,-3.52403942118985,0.193,0.772,0
SNHG5,0,-13.8665080349602,0,0.575,0
FAM129C,0,13.3879394239583,0.574,0,0
ITPR1,0,-3.39202504865457,0.177,0.75,0
CAMK2D,0,-3.17932767958611,0.286,0.854,0
TMEM131L,0,-3.66988079817764,0.127,0.693,0
ANGPTL1,0,-5.8841387511936,0.022,0.587,0
RNASEK,0,-3.58395073240031,0.095,0.658,0
OSBPL10,0,-3.58473184116971,0.144,0.706,0
TOMM6,0,-13.6148819606167,0,0.553,0
