,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AC079793.1,0,-11.9192151796938,0.001,0.808,0
SEPT7,0,13.7988448204104,0.731,0,0
AC120193.1,0,-7.02793356109642,0.024,0.753,0
RABGAP1L,0,-4.83644727920363,0.164,0.868,0
BACH2,0,-5.44020611220779,0.285,0.989,0
NIBAN3,0,-14.8023840111082,0,0.701,0
SEPTIN7,0,-14.71859087533,0,0.693,0
FCHSD2,0,-4.48543961578489,0.233,0.922,0
KHDRBS2,0,-5.52745097080164,0.072,0.759,0
AES,0,13.8930774913916,0.686,0,0
PRKCE,0,-5.02614594447405,0.078,0.761,0
SIK3,0,-4.84620480345866,0.1,0.781,0
COL19A1,0,-4.4826447424008,0.18,0.858,0
MGAT5,0,-4.82325029242729,0.107,0.782,0
SIPA1L1,0,-4.5965559627871,0.142,0.816,0
AP001011.1,0,-14.9239702103166,0,0.673,0
AUTS2,0,-4.81223110626468,0.112,0.779,0
TBC1D5,0,-4.38925176338811,0.14,0.798,0
LINC01619,0,-15.3026448485744,0,0.651,0
GAS5,0,-14.6323562726718,0,0.647,0
C6orf48,0,13.479461253306,0.646,0,0
ITPR1,0,-4.03121750873362,0.177,0.82,0
LRBA,0,-4.47525269441477,0.1,0.737,0
PACS1,0,-4.22992805344453,0.176,0.808,0
CDK14,0,-4.90141189372453,0.082,0.697,0
AP002075.1,0,-12.0029340398718,0,0.609,0
AFF3,0,-4.74148981052875,0.386,0.994,0
SNHG29,0,-14.385107075767,0,0.602,0
ARHGAP15,0,-3.97027818280258,0.36,0.959,0
DLEU2,0,-4.52618284799398,0.096,0.694,0
SIPA1L3,0,-4.07609013356373,0.129,0.727,0
MED13L,0,-4.12480800982216,0.122,0.718,0
CCSER1,0,-5.26747268844474,0.067,0.661,0
TMEM131L,0,-4.10274229496376,0.127,0.721,0
OSBPL10,0,-4.08109980942952,0.144,0.733,0
ADK,0,-3.93475098696707,0.377,0.951,0
WWOX,0,-6.31916098903536,0.034,0.608,0
FAM129C,0,13.2835723464701,0.574,0,0
ZFAND3,0,-4.64118880422773,0.074,0.646,0
IMMP2L,0,-5.83989533364991,0.043,0.615,0
CAMK2D,0,-3.54256044517385,0.286,0.857,0
JAZF1,0,-3.98378428118078,0.134,0.703,0
LINC01578,0,-14.1783426611505,0,0.567,0
SSH2,0,-3.55002500592996,0.247,0.813,0
VAV3,0,-3.88641715849524,0.152,0.717,0
ZBTB20,0,-3.33828931523491,0.28,0.845,0
FOXO1,0,-3.88576900317523,0.155,0.72,0
EBF1,0,-3.72822957865773,0.194,0.756,0
VPS13B,0,-4.85702838135866,0.059,0.62,0
ST6GAL1,0,-3.42535243295305,0.232,0.79,0
DENND4A,0,-3.86141904895675,0.141,0.698,0
ANGPTL1,0,-6.27433528584519,0.022,0.574,0
UVRAG,0,-3.29598529530366,0.251,0.802,0
CAMK1D,0,-3.4096038150398,0.241,0.791,0
HDAC9,0,-3.73474757343648,0.193,0.741,0
RERE,0,-3.47589891513473,0.214,0.76,0
STAG1,0,-3.74589649253654,0.138,0.684,0
PAN3,0,-3.43623555561105,0.189,0.728,0
HLA-DQA2,0,3.86050624812724,0.61,0.072,0
SNHG6,0,-14.0377814877502,0,0.536,0
PALM2-AKAP2,0,-14.2947867459522,0,0.531,0
ATP8B1,0,-6.64515870781462,0.017,0.543,0
UTRN,0,-3.14510545407022,0.288,0.813,0
JUNB,0,2.87912096042638,0.823,0.298,0
TBC1D22A,0,-3.45542172794848,0.187,0.712,0
UBE2E2,0,-3.78380430039523,0.165,0.686,0
DPYD,0,-4.87233885456439,0.055,0.576,0
LIX1-AS1,0,-5.95945557286128,0.035,0.554,0
CDKAL1,0,-4.61616360226393,0.058,0.576,0
LPP,0,-3.52464456083562,0.157,0.674,0
SSBP2,0,-3.5003185366574,0.196,0.713,0
MAML2,0,-4.27887180577242,0.111,0.627,0
DLEU1,0,-14.2516273665519,0,0.516,0
TLE5,0,-13.9679836207816,0,0.515,0
KDM4C,0,-3.48497751253785,0.161,0.674,0
NCOA3,0,-2.92664111250343,0.297,0.808,0
PLCL2,0,-4.37799384303928,0.079,0.589,0
RAD51B,0,-6.03564717865557,0.028,0.536,0
RFX3,0,-4.87530762421623,0.047,0.554,0
ELMO1,0,-3.80793669355258,0.108,0.608,0
SNX29,0,-2.96532019509562,0.308,0.808,0
PDE7A,0,-3.04371207928899,0.25,0.749,0
ARHGEF18,0,-9.21251640873016,0.002,0.496,0
COP1,0,-4.53356050629572,0.056,0.549,0
DIPK1A,0,-14.2486610274613,0,0.49,0
FTX,0,-3.18048532576471,0.177,0.665,0
TMEM131,0,-3.73187129946432,0.112,0.598,0
FAM172A,0,-3.49205181505165,0.147,0.633,0
CHST11,0,-4.4518676871572,0.063,0.548,0
SEPT6,0,12.8065535703685,0.485,0,0
DIP2B,0,-4.13318372166003,0.078,0.563,0
PAX5,0,-2.79804961002453,0.32,0.801,0
SKAP1,0,-3.94577343378219,0.181,0.662,0
RUNX1,0,-4.3228627336775,0.069,0.55,0
TRIO,0,-4.73746884442646,0.051,0.531,0
EIF4G3,0,-3.71631229554325,0.115,0.595,0
ANKUB1,0,-10.8537734388127,0.001,0.48,0
JARID2,0,-3.40487138603081,0.152,0.63,0
ANKRD44,0,-2.93893400767702,0.443,0.919,0
ARL15,0,-6.47550826755175,0.017,0.493,0
BTBD9,0,-5.89880187493968,0.023,0.499,0
ZCCHC7,0,-3.25925586145562,0.472,0.948,0
TCF12,0,-3.94505453252828,0.093,0.569,0
PPDPF,0,2.11610830928883,0.686,0.211,0
KDM6A,0,-4.73483987398139,0.049,0.522,0
NCOA2,0,-4.17503412415935,0.073,0.543,0
MAP4K4,0,-3.01151652479831,0.201,0.665,0
NME2,0,-3.93723819236489,0.074,0.538,0
LYN,0,-2.88263911315247,0.407,0.867,0
SEPTIN6,0,-13.6886977261752,0,0.46,0
DUSP1,0,1.88614433850239,0.781,0.324,0
FAF1,0,-4.38680161746828,0.061,0.517,0
ZFP36,0,2.81141075918928,0.606,0.15,0
RAPGEF6,0,-4.12686908791194,0.065,0.52,0
FOXN3,0,-3.1154286981619,0.195,0.648,0
LARGE1,0,-4.17797356092627,0.089,0.54,0
ARID1B,0,-2.53475354368031,0.399,0.849,0
EXOC4,0,-3.80723411507087,0.099,0.548,0
BCL2,0,-3.34848009341128,0.215,0.663,0
FAM117B,0,-3.5874742126497,0.117,0.561,0
COG5,0,-4.36584556306649,0.057,0.501,0
TRAK1,0,-3.47590573263307,0.116,0.559,0
PLEKHG1,0,-3.48667832285601,0.12,0.561,0
USP6NL,0,-3.30841047850113,0.14,0.58,0
FBXL17,0,-4.94675893610216,0.043,0.482,0
BIRC6,0,-2.87079470679281,0.181,0.617,0
TGFBR2,0,-2.84515260625041,0.207,0.641,0
FXYD5,0,1.69485465521703,0.809,0.376,0
JUN,0,1.8171054885091,0.879,0.447,0
SETBP1,0,-3.74941954245964,0.098,0.529,0
PPP3CA,0,-2.69837195494219,0.32,0.751,0
AKAP13,0,-2.58268036776461,0.337,0.767,0
PLCG2,0,-2.96598390736855,0.165,0.595,0
SPIDR,0,-4.49833246130088,0.053,0.482,0
AFF1,0,-3.4492538969125,0.118,0.546,0
C8orf59,0,12.4705416020172,0.428,0,0
PUM2,0,-3.31880701041943,0.114,0.541,0
RB1,0,-2.81811447070016,0.248,0.674,0
LMBRD1,0,-2.69701493636776,0.266,0.691,0
LIMD2,0,1.59448948672449,0.9,0.476,0
FOS,0,2.7032159767772,0.592,0.168,0
ARIH1,0,-3.90578473690708,0.087,0.509,0
SNHG5,0,-13.4961902568421,0,0.422,0
WDFY4,0,-3.07316431656119,0.149,0.571,0
FCRL1,0,-2.68628251335231,0.489,0.908,0
EIF2AK3,0,-3.81320833013048,0.077,0.496,0
SRPK2,0,-2.82595127390842,0.235,0.653,0
AC119396.1,0,-4.7647570829078,0.036,0.454,0
MARCH3,0,-3.4689002992064,0.126,0.541,0
PHTF2,0,-3.15754284954595,0.128,0.543,0
XYLT1,0,-4.63582158692175,0.04,0.455,0
AP001636.3,0,-6.05485772911396,0.017,0.43,0
CXCR4,0,2.81343077562595,0.967,0.555,0
SEPT9,0,12.4221309058157,0.411,0,0
AKT3,0,-4.90349695074038,0.039,0.448,0
