,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
TCL1A,0,-2.91625395138884,0.137,0.604,0,Follicular B cell,TCL1A
IL4R,0,-3.51993183823654,0.097,0.518,0,Follicular B cell,IL4R
CLECL1,0,2.26552067834088,0.535,0.125,0,Follicular B cell,CLECL1
CRIP1,0,1.35161792286738,0.727,0.353,0,Follicular B cell,CRIP1
LINC01857,0,2.01467387020789,0.504,0.139,0,Follicular B cell,LINC01857
GPR183,0,1.58901642409124,0.565,0.21,0,Follicular B cell,GPR183
TNFRSF13B,0,1.98540427672516,0.466,0.123,0,Follicular B cell,TNFRSF13B
IGHG1,0,1.76061030746173,0.466,0.129,0,Follicular B cell,IGHG1
COTL1,0,1.10764960340941,0.787,0.455,0,Follicular B cell,COTL1
IGHG3,0,1.73893981658202,0.443,0.132,0,Follicular B cell,IGHG3
CD1C,0,2.56107714099954,0.364,0.076,0,Follicular B cell,CD1C
SOX5,0,3.56698916212906,0.339,0.057,0,Follicular B cell,SOX5
ITM2C,0,1.71076072459158,0.361,0.102,0,Follicular B cell,ITM2C
TFEC,0,2.46648026101802,0.311,0.058,0,Follicular B cell,TFEC
HCK,0,1.73583170800788,0.342,0.091,0,Follicular B cell,HCK
KLK1,0,3.46057103934157,0.262,0.032,0,Follicular B cell,KLK1
B2M,0,0.460581168038024,0.998,0.996,0,Follicular B cell,B2M
GRN,4.02538487396693e-294,1.5650578713254,0.369,0.12,1.38674508908161e-289,Follicular B cell,GRN
CIB1,1.5554836425212e-290,1.37214136775734,0.688,0.386,5.35864114848554e-286,Follicular B cell,CIB1
IGHG2,6.30280328457902e-284,1.44948647814707,0.307,0.087,2.17131573153747e-279,Follicular B cell,IGHG2
HLA-A,3.42734793730402e-267,0.582259125022353,0.978,0.9,1.18072136440123e-262,Follicular B cell,HLA-A
CD27,8.608091484927e-262,1.58458890629787,0.33,0.107,2.96548751655735e-257,Follicular B cell,CD27
RGS2,1.12262408951842e-259,2.19352022445441,0.276,0.08,3.86743998839095e-255,Follicular B cell,RGS2
ACP5,5.72250676317298e-256,1.50616267597851,0.335,0.111,1.97140357991309e-251,Follicular B cell,ACP5
ATXN1,3.9821826864574e-247,1.52527328311947,0.278,0.081,1.37186193548457e-242,Follicular B cell,ATXN1
CCDC50,5.14900841342976e-247,0.99541682983512,0.624,0.317,1.77383339842655e-242,Follicular B cell,CCDC50
FCER2,1.2664637776765e-243,-1.82420808184864,0.247,0.521,4.36296771409554e-239,Follicular B cell,FCER2
TXNIP,1.75607316592508e-240,-0.753793235965603,0.901,0.952,6.0496720566119e-236,Follicular B cell,TXNIP
BACH2,2.47526123966921e-238,-1.93186761637523,0.43,0.646,8.52727497066043e-234,Follicular B cell,BACH2
IGHA1,6.7234727179048e-234,0.734287734276836,0.444,0.179,2.3162363513182e-229,Follicular B cell,IGHA1
FCRL5,2.07642545105468e-233,1.66796285005155,0.378,0.145,7.15328567888339e-229,Follicular B cell,FCRL5
PLPP5,4.19181124841763e-227,-2.03353728717452,0.201,0.465,1.44407897507987e-222,Follicular B cell,PLPP5
FCGR2B,7.12069960521414e-223,1.04190894169412,0.549,0.264,2.45308101399627e-218,Follicular B cell,FCGR2B
HLA-C,4.68893936036424e-216,0.502682871835673,0.977,0.91,1.61533960964548e-211,Follicular B cell,HLA-C
ITPR1,2.11016061175669e-212,-2.00897768321392,0.258,0.502,7.26950330750178e-208,Follicular B cell,ITPR1
MEF2C,3.11519018044633e-212,-0.993303904692956,0.771,0.855,1.07318301716376e-207,Follicular B cell,MEF2C
PPP1R14A,4.39389034584103e-204,1.66758587144519,0.338,0.134,1.51369522414223e-199,Follicular B cell,PPP1R14A
LGALS1,1.15065341702929e-203,1.35507285391718,0.425,0.191,3.96400102166592e-199,Follicular B cell,LGALS1
MNDA,1.4198440416366e-202,0.878107783579977,0.334,0.123,4.8913627234381e-198,Follicular B cell,MNDA
AIM2,1.96767442554705e-200,1.06143976541224,0.378,0.15,6.77863839600959e-196,Follicular B cell,AIM2
COL19A1,2.94852340917312e-200,-2.0348902317789,0.249,0.492,1.01576631446014e-195,Follicular B cell,COL19A1
PLD4,4.81582481014773e-200,1.23215896503901,0.349,0.134,1.65905164709589e-195,Follicular B cell,PLD4
TNFRSF1B,6.48450055702815e-199,1.46720530316596,0.277,0.094,2.2339104418962e-194,Follicular B cell,TNFRSF1B
SNX29,1.0816154384814e-192,-1.6978807110001,0.305,0.529,3.72616518556844e-188,Follicular B cell,SNX29
RPS14,2.68154698883725e-191,0.288547182746082,0.995,0.98,9.23792937654434e-187,Follicular B cell,RPS14
MS4A1,1.41526001629065e-188,0.535056315567645,0.979,0.903,4.8755707561213e-184,Follicular B cell,MS4A1
HVCN1,2.09483750818872e-188,-1.15922399239322,0.528,0.675,7.21671521571013e-184,Follicular B cell,HVCN1
LIX1-AS1,4.36347506905536e-187,-3.43523716386026,0.05,0.282,1.50321716128957e-182,Follicular B cell,LIX1-AS1
EMP3,4.04861752579868e-181,0.815151659293393,0.81,0.573,1.39474873763765e-176,Follicular B cell,EMP3
FCRL1,3.59247099304306e-179,-1.36747034949541,0.546,0.678,1.23760625710334e-174,Follicular B cell,FCRL1
VOPP1,3.0264701983964e-177,0.909534924279072,0.528,0.272,1.04261898334756e-172,Follicular B cell,VOPP1
CD82,9.39192764084042e-176,0.984580261510921,0.498,0.25,3.23551907226952e-171,Follicular B cell,CD82
LINC00926,2.18999077982734e-172,-0.898163858809884,0.71,0.795,7.54451823650519e-168,Follicular B cell,LINC00926
IL10RA,1.13093355467203e-171,1.10152841163992,0.295,0.111,3.89606609584514e-167,Follicular B cell,IL10RA
ADK,2.97282059470709e-168,-1.1574732785901,0.493,0.686,1.02413669487659e-163,Follicular B cell,ADK
HLA-B,3.28586418345384e-167,0.3859405258821,0.993,0.963,1.13198021119985e-162,Follicular B cell,HLA-B
IFNG-AS1,1.89547951671587e-166,-3.2268532321268,0.049,0.264,6.52992693508616e-162,Follicular B cell,IFNG-AS1
PLEK,1.45841582975288e-164,0.856029054286237,0.528,0.283,5.02424253349868e-160,Follicular B cell,PLEK
VIM,1.45611700336063e-162,0.593398186890957,0.847,0.606,5.01632307657739e-158,Follicular B cell,VIM
FGR,7.02955812906696e-162,1.2554643969975,0.327,0.136,2.42168277546357e-157,Follicular B cell,FGR
MALAT1,1.19188904960297e-161,0.252558368577468,1,1,4.10605777588223e-157,Follicular B cell,MALAT1
ITGB7,5.34934591162626e-160,1.16882655084193,0.303,0.121,1.84284966655525e-155,Follicular B cell,ITGB7
RPS18,1.05611612014229e-159,0.32826201776723,0.995,0.983,3.63832003389017e-155,Follicular B cell,RPS18
TAPT1,6.83984720304987e-157,-2.50994347274661,0.098,0.309,2.35632736145068e-152,Follicular B cell,TAPT1
CSGALNACT1,7.51627904490478e-157,1.08326105316002,0.364,0.164,2.5893581309697e-152,Follicular B cell,CSGALNACT1
FCRLA,2.03184080354714e-156,0.769992239155931,0.57,0.312,6.99969156821988e-152,Follicular B cell,FCRLA
SELL,9.18710299926901e-153,-1.02843813699066,0.44,0.623,3.16495698324817e-148,Follicular B cell,SELL
GAPDH,1.38532448137073e-152,0.618200942169849,0.803,0.578,4.77244283832216e-148,Follicular B cell,GAPDH
RPL41,3.01778110118229e-152,0.313766485317625,0.995,0.985,1.0396255893573e-147,Follicular B cell,RPL41
IGHD,1.41183238146796e-150,-0.897672654537915,0.585,0.691,4.86376255415712e-146,Follicular B cell,IGHD
ARHGAP24,2.44060949540636e-150,0.646402242655428,0.698,0.414,8.40789971167492e-146,Follicular B cell,ARHGAP24
YBX3,2.80907420820153e-149,-1.94195011305357,0.138,0.35,9.67726064725425e-145,Follicular B cell,YBX3
LY6E,6.39833978785284e-146,0.760477625728827,0.617,0.369,2.2042280569153e-141,Follicular B cell,LY6E
RPL23A,5.25196498385399e-145,0.352056686197686,0.993,0.967,1.8093019369377e-140,Follicular B cell,RPL23A
TSPAN13,9.73254215536518e-144,-1.83183422839221,0.153,0.36,3.3528607725233e-139,Follicular B cell,TSPAN13
HERPUD1,1.55220156922549e-143,0.853906244127564,0.574,0.335,5.34733440598183e-139,Follicular B cell,HERPUD1
RPS3,1.10367711667974e-137,0.299912613199964,0.99,0.973,3.80216766696171e-133,Follicular B cell,RPS3
TMEM123,6.98439247576674e-136,-1.45477950554609,0.255,0.447,2.40612320790164e-131,Follicular B cell,TMEM123
NCK2,2.51400548724341e-134,-1.9064025829724,0.191,0.383,8.66074890355354e-130,Follicular B cell,NCK2
LSP1,1.37074274754411e-132,0.661138403350454,0.714,0.48,4.72220876528945e-128,Follicular B cell,LSP1
S100A11,1.54785399161183e-132,0.89439428139117,0.37,0.178,5.33235700110274e-128,Follicular B cell,S100A11
RPS29,2.74956867933967e-131,0.347766381253553,0.991,0.976,9.47226410032517e-127,Follicular B cell,RPS29
PSAP,8.47543825969545e-130,0.706731649203594,0.542,0.31,2.91978848046508e-125,Follicular B cell,PSAP
S100A6,1.50337262404844e-129,0.523894290578542,0.79,0.566,5.17911868984688e-125,Follicular B cell,S100A6
MRPL40,1.02478085709828e-126,0.985521178073154,0.317,0.143,3.53037005270359e-122,Follicular B cell,MRPL40
HLA-DPA1,1.04336600748855e-126,0.420417412020028,0.975,0.911,3.59439589579804e-122,Follicular B cell,HLA-DPA1
FAM49A,1.38358825494988e-125,1.14357336854917,0.305,0.139,4.76646153830234e-121,Follicular B cell,FAM49A
ITGB1,7.39997739624039e-125,0.426856019425148,0.408,0.201,2.54929221300481e-120,Follicular B cell,ITGB1
RPL27A,4.03258699629339e-123,0.30556847891047,0.991,0.97,1.38922622022307e-118,Follicular B cell,RPL27A
HLA-DPB1,4.46996081493078e-123,0.409506711157403,0.98,0.93,1.53990150074365e-118,Follicular B cell,HLA-DPB1
FCRL2,8.46409575926385e-123,0.583450857366721,0.58,0.337,2.9158809890664e-118,Follicular B cell,FCRL2
POU2F2,7.21898517838667e-122,0.603790230108081,0.755,0.531,2.48694039395421e-117,Follicular B cell,POU2F2
ZFP36,3.20245024766828e-121,0.727983404421019,0.623,0.396,1.10324411032172e-116,Follicular B cell,ZFP36
SMARCB1,1.00295702561627e-120,0.734893280614197,0.549,0.327,3.45518695324806e-116,Follicular B cell,SMARCB1
CD48,9.4620882782656e-119,0.436247765456432,0.929,0.79,3.2596894118625e-114,Follicular B cell,CD48
ZCCHC7,1.30034107960279e-118,-1.02394827952483,0.613,0.713,4.47967501923161e-114,Follicular B cell,ZCCHC7
AP2S1,9.41647121699562e-118,0.73769041426106,0.432,0.226,3.24397433425499e-113,Follicular B cell,AP2S1
BCL2A1,1.77120385210803e-117,0.955320392051962,0.31,0.144,6.10179727051216e-113,Follicular B cell,BCL2A1
UBC,2.16624479371155e-117,0.470278788493373,0.934,0.826,7.46271331433629e-113,Follicular B cell,UBC
GABARAPL2,4.71634316953081e-117,0.689357936864628,0.613,0.384,1.62478022190336e-112,Follicular B cell,GABARAPL2
APLP2,5.11170480799264e-117,-1.53694717991672,0.213,0.389,1.76098230635346e-112,Follicular B cell,APLP2
NEAT1,6.9847722121171e-117,0.505387351919103,0.622,0.387,2.40625402707434e-112,Follicular B cell,NEAT1
MGAT5,1.36099728278086e-116,-1.57054866015258,0.263,0.437,4.68863563918006e-112,Follicular B cell,MGAT5
TOMM7,2.39931803717747e-116,0.375028582073876,0.954,0.862,8.26565063807637e-112,Follicular B cell,TOMM7
P2RY8,3.86536245338372e-116,-1.45804811870716,0.277,0.451,1.33161736519069e-111,Follicular B cell,P2RY8
SMAP2,2.14864576359978e-115,-1.05043432678876,0.549,0.649,7.40208465560123e-111,Follicular B cell,SMAP2
FOXO1,6.14817339025165e-115,-1.59354223862224,0.257,0.428,2.11804573294169e-110,Follicular B cell,FOXO1
MBNL1,5.10582477846899e-114,-0.84892433757877,0.744,0.797,1.75895663618257e-109,Follicular B cell,MBNL1
SSBP2,1.27138357346e-113,-1.26527596135117,0.258,0.447,4.3799164105697e-109,Follicular B cell,SSBP2
RIN3,4.87474007299906e-113,0.824281198906498,0.304,0.139,1.67934795514817e-108,Follicular B cell,RIN3
AFF3,5.41325771815583e-112,-1.06489980599074,0.642,0.72,1.86486728390468e-107,Follicular B cell,AFF3
CD63,8.47316283774886e-112,0.73710270393237,0.415,0.22,2.91900459760448e-107,Follicular B cell,CD63
SYK,8.34072169275541e-111,0.715360564871568,0.663,0.44,2.87337862315424e-106,Follicular B cell,SYK
SAT1,1.69380535519353e-108,0.616002168131979,0.678,0.466,5.83515944864169e-104,Follicular B cell,SAT1
MPEG1,3.48452912057164e-108,0.88303434424517,0.263,0.114,1.20042028203693e-103,Follicular B cell,MPEG1
MPP6,2.42326259666408e-107,1.81313296244428,0.255,0.119,8.34813964550776e-103,Follicular B cell,MPP6
SEC11C,4.27701628408438e-105,0.713068256643383,0.392,0.205,1.47343210986707e-100,Follicular B cell,SEC11C
ZDHHC21,2.65673780175704e-103,0.677458328298864,0.37,0.191,9.152461727053e-99,Follicular B cell,ZDHHC21
MARCH3,3.97550978010725e-103,-1.67913571794964,0.167,0.337,1.36956311924695e-98,Follicular B cell,MARCH3
SEC61B,1.04975275399711e-101,0.607712676863503,0.612,0.392,3.61639823752006e-97,Follicular B cell,SEC61B
ATP5F1E,4.6530001959615e-101,0.365801932120742,0.956,0.862,1.60295856750874e-96,Follicular B cell,ATP5F1E
PACS1,6.14711496215836e-101,-1.34451636635523,0.36,0.501,2.11768110446356e-96,Follicular B cell,PACS1
NCOA7,9.54994303714959e-101,0.860343585214366,0.261,0.119,3.28995537629803e-96,Follicular B cell,NCOA7
LILRB1,6.08056388462513e-100,0.908758771174108,0.254,0.114,2.09475425825336e-95,Follicular B cell,LILRB1
ANKRD44,2.11885859324344e-99,-0.904595877488296,0.62,0.704,7.29946785372366e-95,Follicular B cell,ANKRD44
PLAC8,1.69074057888217e-98,0.51581498746801,0.864,0.714,5.82460129424908e-94,Follicular B cell,PLAC8
PYCARD,3.21801247188337e-98,0.687437093230067,0.419,0.231,1.10860529656382e-93,Follicular B cell,PYCARD
SKAP1,1.54956216996959e-97,-1.27486876534595,0.209,0.384,5.33824167554525e-93,Follicular B cell,SKAP1
NLRC5,3.21692465195252e-97,0.686596406139088,0.304,0.149,1.10823054259764e-92,Follicular B cell,NLRC5
RPL36,9.89961997119609e-97,0.304246025455729,0.986,0.948,3.41041908007705e-92,Follicular B cell,RPL36
PKM,5.29565647355609e-96,0.684311158175605,0.447,0.257,1.82435365514007e-91,Follicular B cell,PKM
IFT57,8.41438704813087e-96,0.527192281252555,0.57,0.351,2.89875633808108e-91,Follicular B cell,IFT57
STK17A,1.14116825713809e-95,-0.897862793237643,0.495,0.598,3.93132464584071e-91,Follicular B cell,STK17A
PRKCB,1.46516366420355e-95,-0.847202382386634,0.742,0.776,5.04748882318123e-91,Follicular B cell,PRKCB
ADGRE5,1.91094480439132e-95,0.920195240459021,0.284,0.138,6.5832048511281e-91,Follicular B cell,ADGRE5
TLR10,2.64295560060341e-95,0.743656964891128,0.401,0.223,9.10498204407875e-91,Follicular B cell,TLR10
SEPT6,1.98100893170199e-94,0.835421530478639,0.377,0.211,6.82457576971337e-90,Follicular B cell,SEPT6
KHDRBS2,8.15908051216193e-94,-1.42981761371661,0.262,0.418,2.81080323643978e-89,Follicular B cell,KHDRBS2
CD19,1.74553036736015e-92,0.708054071286744,0.427,0.242,6.01335211555571e-88,Follicular B cell,CD19
RNASET2,3.81990631210359e-92,0.448927749421566,0.783,0.587,1.31595772451969e-87,Follicular B cell,RNASET2
PTPN18,5.92767877879238e-92,0.7904585578389,0.273,0.129,2.04208533929398e-87,Follicular B cell,PTPN18
FCRL3,6.86929237021423e-92,0.739194158431077,0.377,0.205,2.3664712215388e-87,Follicular B cell,FCRL3
SPIB,1.01713054489314e-91,0.567744851916339,0.59,0.383,3.50401472715686e-87,Follicular B cell,SPIB
COX8A,3.25350269110096e-91,0.523810169301299,0.591,0.375,1.12083167708428e-86,Follicular B cell,COX8A
ISCU,1.74293898215875e-90,0.504677881097018,0.704,0.488,6.00442479353689e-86,Follicular B cell,ISCU
FOXP1,2.91898473816127e-90,-0.879143565307573,0.802,0.814,1.00559024229656e-85,Follicular B cell,FOXP1
