"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FCGR3A",0,-4.78242154417796,0.146,0.885,0,"Monocyte_CD14highCD16low","FCGR3A"
"RHOC",0,-3.89644881303136,0.123,0.763,0,"Monocyte_CD14highCD16low","RHOC"
"S100A12",0,4.02811934905559,0.808,0.207,0,"Monocyte_CD14highCD16low","S100A12"
"CDKN1C",0,-5.51118520518555,0.026,0.605,0,"Monocyte_CD14highCD16low","CDKN1C"
"ABI3",0,-2.54468308503519,0.178,0.726,0,"Monocyte_CD14highCD16low","ABI3"
"MTSS1",0,-2.51252557532055,0.231,0.751,0,"Monocyte_CD14highCD16low","MTSS1"
"VCAN",0,3.5566643106906,0.901,0.39,0,"Monocyte_CD14highCD16low","VCAN"
"SMIM25",0,-2.32731989825824,0.346,0.845,0,"Monocyte_CD14highCD16low","SMIM25"
"CSF1R",0,-2.03621112053421,0.31,0.798,0,"Monocyte_CD14highCD16low","CSF1R"
"EVL",0,-1.85133167823761,0.178,0.665,0,"Monocyte_CD14highCD16low","EVL"
"SPN",0,-2.0108090980536,0.263,0.74,0,"Monocyte_CD14highCD16low","SPN"
"CD79B",0,-3.4297192197333,0.053,0.529,0,"Monocyte_CD14highCD16low","CD79B"
"SIGLEC10",0,-2.84958273913315,0.093,0.56,0,"Monocyte_CD14highCD16low","SIGLEC10"
"CALHM6",0,-1.86972964019165,0.381,0.836,0,"Monocyte_CD14highCD16low","CALHM6"
"HES4",0,-5.482518643925,0.01,0.454,0,"Monocyte_CD14highCD16low","HES4"
"TCF7L2",0,-2.42398941186121,0.305,0.748,0,"Monocyte_CD14highCD16low","TCF7L2"
"BCL2A1",0,-1.41352042441867,0.271,0.711,0,"Monocyte_CD14highCD16low","BCL2A1"
"ICAM2",0,-1.83148061438264,0.181,0.613,0,"Monocyte_CD14highCD16low","ICAM2"
"CTSL",0,-3.44176201153069,0.056,0.486,0,"Monocyte_CD14highCD16low","CTSL"
"CAMK1",0,-1.80935417955722,0.189,0.616,0,"Monocyte_CD14highCD16low","CAMK1"
"MS4A7",0,-2.16120614390475,0.455,0.879,0,"Monocyte_CD14highCD16low","MS4A7"
"LY6E",0,-1.53583209425055,0.436,0.855,0,"Monocyte_CD14highCD16low","LY6E"
"HMOX1",0,-1.73988456085636,0.332,0.746,0,"Monocyte_CD14highCD16low","HMOX1"
"GPBAR1",0,-1.71809988545215,0.225,0.634,0,"Monocyte_CD14highCD16low","GPBAR1"
"LTB",0,-1.19553254812377,0.188,0.597,0,"Monocyte_CD14highCD16low","LTB"
