,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SEPTIN7,0,-17.5422589116449,0,0.825,0
SEPT7,0,16.1819676869797,0.806,0,0
RARRES3,0,16.1012088931257,0.775,0,0
AES,0,16.0259131449014,0.764,0,0
PLAAT4,0,-17.2866761231703,0,0.764,0
TLE5,0,-17.0277184882214,0,0.715,0
PCED1B-AS1,0,-16.8501414421645,0,0.685,0
KLRK1,0,-4.17389917300019,0.096,0.738,0
C5orf56,0,-16.442098747965,0,0.596,0
RABGAP1L,0,-3.84120833730462,0.232,0.824,0
SNHG6,0,-16.4909207238456,0,0.583,0
RNASEK,0,-3.63477620924976,0.102,0.676,0
CXCR4,0,3.17337480284463,0.693,0.144,0
DPYD,0,-4.22168671249315,0.082,0.629,0
LRBA,0,-3.81309501029189,0.11,0.646,0
ZFAND3,0,-3.8865260053195,0.109,0.642,0
TOMM6,0,-16.0069111603573,0,0.524,0
SEPT9,0,14.7808556293652,0.522,0,0
ARHGAP15,0,-3.26642853933208,0.299,0.82,0
SNHG29,0,-16.293962910643,0,0.52,0
KLF12,0,-3.41941635325856,0.144,0.659,0
NME2,0,-4.03622592959948,0.061,0.567,0
MICOS10,0,-15.9489817601426,0,0.506,0
NCALD,0,-3.43596580483079,0.144,0.647,0
KLRC3,0,-4.60033821652568,0.054,0.555,0
AC092821.3,0,-16.054848538686,0,0.5,0
AKT3,0,-4.13930685520228,0.073,0.572,0
RAP1GAP2,0,-3.76919128392584,0.113,0.611,0
VPS13B,0,-4.20777200035548,0.059,0.556,0
DUSP1,0,3.21431176994254,0.718,0.221,0
EEF1G,0,-2.55262652779961,0.305,0.799,0
ARL15,0,-5.93271999983979,0.021,0.515,0
NCOA1,0,-3.10103433003787,0.164,0.65,0
RUNX1,0,-3.66275206679632,0.103,0.589,0
SEPTIN6,0,-15.993612521846,0,0.484,0
PICALM,0,-3.37033769716798,0.121,0.604,0
SMYD3,0,-4.33592273062567,0.073,0.551,0
MINOS1,0,14.4878977764162,0.477,0,0
SLC35F1,0,-16.2800243410068,0,0.475,0
AOAH,0,-3.06637276997954,0.328,0.8,0
ATXN1,0,-3.45548378201455,0.107,0.572,0
PITPNC1,0,-2.86811020592198,0.25,0.713,0
LIME1,0,-8.1243606904662,0.003,0.463,0
LINC01578,0,-15.9824954818749,0,0.46,0
FOXN3,0,-2.73253280572026,0.263,0.721,0
DOCK10,0,-3.19635704630206,0.141,0.597,0
SIK3,0,-4.3365513201606,0.059,0.514,0
JAZF1,0,-3.14037981420991,0.167,0.622,0
STAG1,0,-3.26910810972391,0.122,0.574,0
GAS5,0,-16.0228480788082,0,0.451,0
TBC1D5,0,-3.67559164162171,0.091,0.54,0
AC079793.1,0,-13.4781458067249,0,0.443,0
TGFBR3,0,-2.70327161861702,0.237,0.678,0
RESF1,0,-15.7692647532123,0,0.439,0
ZBTB20,0,-2.65723382391963,0.202,0.639,0
TSC22D3,0,2.08821196284985,0.843,0.408,0
STK39,0,-3.6489730341995,0.078,0.512,0
VAV3,0,-3.16968345843833,0.129,0.563,0
EIF4G3,0,-3.31424680118798,0.125,0.557,0
ARHGAP26,0,-3.12736836640543,0.137,0.569,0
SNHG5,0,-15.8669351094379,0,0.431,0
CHST11,0,-3.10716879320282,0.128,0.554,0
MED13L,0,-3.60847326115585,0.083,0.508,0
SEPT6,0,14.4052556221603,0.424,0,0
TOX,0,-3.35042116028935,0.123,0.546,0
UTRN,0,-2.47100632391084,0.4,0.823,0
JUNB,0,2.63162540102945,0.816,0.393,0
NCOA2,0,-3.53926844221816,0.082,0.504,0
MCTP2,0,-2.62293772492488,0.199,0.62,0
BCAS3,0,-4.53205899731206,0.044,0.464,0
IQGAP2,0,-2.30854670781035,0.327,0.746,0
CBLB,0,-2.67504934844538,0.194,0.611,0
LPP,0,-2.67700978475225,0.174,0.59,0
SEPT1,0,14.3013300408976,0.415,0,0
PTPRJ,0,-3.25342145454053,0.098,0.511,0
TCF12,0,-3.81365422496583,0.068,0.48,0
PRKCQ,0,-3.22979246086426,0.096,0.507,0
FOS,0,3.02399055009998,0.517,0.109,0
FBXL17,0,-4.0750960824012,0.054,0.461,0
AC243829.2,0,-6.62102288453684,0.01,0.417,0
TNIK,0,-2.73033675665419,0.163,0.57,0
CIAO2B,0,-15.4565603466445,0,0.406,0
SKAP1,0,-2.68982882368062,0.448,0.854,0
FAM172A,0,-2.6203772919726,0.192,0.597,0
CDKAL1,0,-3.96130320012485,0.053,0.455,0
AGTPBP1,0,-2.67850260934868,0.164,0.566,0
ATP6V0C,0,-6.90055358918891,0.005,0.406,0
BTBD9,0,-5.00743177909151,0.027,0.428,0
EXOC4,0,-3.27345407781309,0.101,0.501,0
FTX,0,-2.63702166020143,0.144,0.544,0
SEPTIN9,0,-15.5474515107492,0,0.4,0
FAF1,0,-3.83701668602031,0.064,0.46,0
PLCL2,0,-3.18617533727802,0.1,0.495,0
PCED1B,0,-3.63887031574674,0.068,0.463,0
LINC01138,0,-15.5650175974513,0,0.393,0
SSH2,0,-2.5684543425873,0.215,0.607,0
COP1,0,-3.73665268728977,0.059,0.45,0
PIK3R5,0,-2.92128519839726,0.125,0.516,0
RASA2,0,-2.48661291220042,0.19,0.581,0
LINC00299,0,-4.94423552550604,0.025,0.414,0
CARD11,0,-2.98523577314353,0.112,0.5,0
C8orf59,0,14.0935736824557,0.388,0,0
RBIS,0,-15.4019122168397,0,0.388,0
PLCB1,0,-4.4232666210837,0.055,0.441,0
PARP8,0,-2.20400829490689,0.317,0.696,0
FNDC3B,0,-3.05067705919795,0.112,0.49,0
ANKRD44,0,-2.16276569248382,0.366,0.743,0
FAM96B,0,13.9947754748127,0.377,0,0
KDM6A,0,-3.89461328573282,0.059,0.434,0
ZFP36,0,2.19081527058352,0.654,0.279,0
SRPK2,0,-2.1465867725945,0.338,0.713,0
BCL11B,0,-2.35003561632399,0.165,0.538,0
PAN3,0,-2.68967763471561,0.15,0.522,0
DOCK8,0,-2.07835106234236,0.266,0.636,0
VTI1A,0,-3.19858392693981,0.092,0.462,0
BIRC6,0,-2.22073456558091,0.21,0.574,0
MBD5,0,-2.78692473272944,0.145,0.507,0
TRG-AS1,0,-2.19506914776058,0.241,0.602,0
CLASP1,0,-3.55883957264458,0.054,0.413,0
MBNL1,0,-2.54157576878365,0.551,0.91,0
C6orf48,0,14.0927314052158,0.359,0,0
ZCCHC7,0,-2.96133180227656,0.12,0.479,0
STAT4,0,-2.09026635943153,0.322,0.68,0
KIAA1551,0,14.1227123713484,0.358,0,0
KDM4C,0,-2.83801875620029,0.106,0.462,0
PPP6R3,0,-2.7296698006239,0.107,0.463,0
ATP8A1,0,-2.68851734785483,0.119,0.475,0
PPP2R2B,0,-2.6917555670721,0.167,0.521,0
ARID1B,0,-2.02437984974555,0.253,0.607,0
PLAAT3,0,-15.2102234702114,0,0.354,0
ST6GAL1,0,-2.74944890058508,0.136,0.489,0
PPP3CC,0,-2.21775643762473,0.208,0.559,0
SPIDR,0,-3.89106838335371,0.052,0.401,0
PUM2,0,-2.54938622598185,0.122,0.471,0
SOS1,0,-3.0963539300206,0.089,0.437,0
SLFN12L,0,-2.3354858545579,0.167,0.515,0
GADD45B,0,2.43143013984491,0.581,0.233,0
NFATC2,0,-2.25114735510808,0.174,0.521,0
EEF2,0,1.59717320392203,0.857,0.51,0
ITCH,0,-2.48244867481727,0.142,0.487,0
ATP11B,0,-2.70747595810843,0.109,0.453,0
FBXW7,0,-2.87649510453549,0.111,0.455,0
ANKHD1,0,-3.46625874538355,0.054,0.398,0
NFKBIA,0,2.14742033068279,0.589,0.245,0
CDK17,0,-2.67272284129685,0.115,0.458,0
PACS1,0,-2.74113955448359,0.135,0.474,0
HERC4,0,-2.49565503916062,0.133,0.472,0
HERC1,0,-2.4370581171619,0.154,0.493,0
LAPTM5,0,1.48182425483092,0.811,0.473,0
ELMO1,0,-3.06164099539997,0.089,0.427,0
HIVEP3,0,-2.94844168336702,0.11,0.446,0
UBE2V1,0,-2.80663922924714,0.086,0.422,0
RFX3,0,-4.44876102602968,0.029,0.363,0
PRKCH,0,-2.20877660547377,0.46,0.793,0
DENND4A,0,-3.1864821777566,0.079,0.412,0
STK38,0,-1.81712989585353,0.273,0.604,0
PHF21A,0,-2.90179056096461,0.097,0.427,0
TBC1D22A,0,-2.8617305765687,0.104,0.433,0
TRAPPC9,0,-4.14835308590698,0.034,0.363,0
PPP3CA,0,-2.18999537070554,0.216,0.544,0
STIM1,0,-2.50943299902523,0.145,0.473,0
SGCD,0,-6.45008556652236,0.013,0.34,0
ARHGEF3,0,-1.97998733627317,0.272,0.599,0
TENT2,0,-2.36890044443729,0.142,0.467,0
DYRK1A,0,-2.71693930352393,0.104,0.428,0
LINC00861,0,-1.69500590748926,0.36,0.683,0
CD74,0,1.30013428247559,0.791,0.469,0
TC2N,0,-2.22933693546938,0.184,0.504,0
ARIH1,0,-2.73010062024123,0.107,0.427,0
POLR2J3.1,0,14.0369219055005,0.319,0,0
WWOX,0,-4.74861079883613,0.036,0.355,0
MKLN1,0,-2.71040350331473,0.089,0.408,0
DLEU2,0,-3.91279084367381,0.041,0.359,0
C19orf70,0,13.7325262018818,0.318,0,0
INPP4A,0,-2.17458947797956,0.171,0.489,0
COG5,0,-3.55888995979793,0.052,0.368,0
PLA2G16,0,13.7114140601014,0.316,0,0
JMJD1C,0,-2.37578368770524,0.179,0.495,0
USP25,0,-3.03607787810506,0.074,0.39,0
SEPTIN2,0,-15.0474457263079,0,0.316,0
HMGN4,0,-4.04181587123847,0.029,0.344,0
CAMK2D,0,-3.09055038806202,0.076,0.39,0
ERBIN,0,-1.81297562966876,0.255,0.569,0
MAML2,0,-3.94872745483679,0.055,0.368,0
DDIT4,0,1.94536062721199,0.499,0.186,0
FXYD5,0,1.42130423143899,0.748,0.435,0
SYNE1,0,-1.71451351705064,0.465,0.777,0
PSMA6,0,-2.12791195539202,0.125,0.436,0
C19orf66,0,13.7210279885878,0.311,0,0
AC016074.2,0,-15.1302041183313,0,0.311,0
AMBRA1,0,-4.70837040219123,0.018,0.328,0
RORA-AS1,0,-7.00472197716322,0.004,0.314,0
DYM,0,-3.06865676940624,0.069,0.379,0
CELF2,0,-1.74515436392966,0.497,0.806,0
AP3B1,0,-2.43787585469037,0.128,0.437,0
KMT2C,0,-2.13437247210663,0.188,0.497,0
ATF7IP,0,-1.80251024645136,0.246,0.553,0
RAPGEF6,0,-3.6081463157104,0.043,0.35,0
CAMKMT,0,-4.36544754254741,0.034,0.34,0
PRKCB,0,-1.86914593393836,0.344,0.65,0
PPDPF,0,1.30662384655464,0.687,0.381,0
DOCK2,0,-2.15174641340216,0.175,0.481,0
MRTFA,0,-15.2634346088193,0,0.306,0
GSK3B,0,-2.45502313940672,0.129,0.434,0
RAD51B,0,-5.27439844041555,0.02,0.324,0
LINC01619,0,-15.5966688101645,0,0.304,0
ESYT2,0,-2.37408943765113,0.132,0.435,0
JARID2,0,-2.44756450735655,0.124,0.425,0
FRYL,0,-2.05575727811015,0.168,0.469,0
USP24,0,-2.66214927077433,0.092,0.392,0
FBXO11,0,-2.76197457022236,0.091,0.391,0
