,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SEPT7,0,16.243355359575,0.806,0,0
RARRES3,0,16.162596565721,0.775,0,0
AES,0,16.0873008174967,0.764,0,0
SEPTIN7,0,-17.5285779647034,0,0.685,0
DPYD,0,-5.03282485462151,0.082,0.676,0
AC079793.1,0,-14.8959603085146,0,0.579,0
JUNB,0,3.22103304310507,0.816,0.238,0
RABGAP1L,0,-4.20598500912702,0.232,0.796,0
IFITM1,0,2.93749876162731,0.816,0.252,0
ZFAND3,0,-4.44891357520641,0.109,0.671,0
LRBA,0,-4.30599218697778,0.11,0.662,0
TLE5,0,-16.7200250049683,0,0.548,0
ARHGAP15,0,-3.881622713506,0.299,0.833,0
CXCR4,0,3.02439775866377,0.693,0.162,0
VPS13B,0,-4.83604890834871,0.059,0.588,0
ZFP36,0,3.18555199085345,0.654,0.13,0
SEPT9,0,14.8422433019605,0.522,0,0
ARL15,0,-6.43820921888818,0.021,0.538,0
KLF12,0,-3.91410281602359,0.144,0.659,0
PICALM,0,-3.97185469949876,0.121,0.631,0
DUSP1,0,3.08957932766608,0.718,0.225,0
RAP1GAP2,0,-4.12377714112976,0.113,0.606,0
RUNX1,0,-4.15350401505452,0.103,0.596,0
PLAAT4,0,-16.4474744618678,0,0.493,0
SIK3,0,-4.79395855464369,0.059,0.55,0
C5orf56,0,-16.4120875897262,0,0.488,0
DOCK10,0,-3.77743291662534,0.141,0.624,0
AKT3,0,-4.51211067713601,0.073,0.553,0
MED13L,0,-4.28675105597225,0.083,0.56,0
MINOS1,0,14.5492854490115,0.477,0,0
ARHGAP26,0,-3.78340374349038,0.137,0.614,0
KLRK1,0,-3.85613915260325,0.096,0.573,0
SMYD3,0,-4.71639109212746,0.073,0.546,0
TBC1D5,0,-4.22018870071949,0.091,0.563,0
CHST11,0,-3.78323321287023,0.128,0.6,0
PCED1B-AS1,0,-16.2842265674171,0,0.469,0
STAG1,0,-3.75270194918066,0.122,0.588,0
COP1,0,-4.55655731762091,0.059,0.522,0
NCALD,0,-3.74526073978773,0.144,0.606,0
ZBTB20,0,-3.25329274753237,0.202,0.662,0
LINC01619,0,-16.9808718953707,0,0.458,0
LPP,0,-3.30694699699062,0.174,0.626,0
FOXN3,0,-3.21163383180258,0.263,0.715,0
NCOA1,0,-3.45246765309134,0.164,0.614,0
PPDPF,0,1.99054365026118,0.687,0.238,0
ATXN1,0,-3.83884836104063,0.107,0.555,0
NCOA2,0,-4.13864195889185,0.082,0.53,0
FNDC3B,0,-3.80517955535547,0.112,0.559,0
TCF12,0,-4.38500845610021,0.068,0.514,0
CBLB,0,-3.25818476227579,0.194,0.638,0
JAZF1,0,-3.54976862598602,0.167,0.61,0
GADD45B,0,3.15474009168199,0.581,0.138,0
FBXL17,0,-4.67374695347036,0.054,0.494,0
SSH2,0,-3.31770644995183,0.215,0.654,0
FAF1,0,-4.41989398902569,0.064,0.502,0
BTBD9,0,-5.5515711453762,0.027,0.465,0
TSC22D3,0,2.03345071918148,0.843,0.405,0
FTX,0,-3.32447813991624,0.144,0.581,0
CDKAL1,0,-4.55524462536257,0.053,0.489,0
NOP53,0,1.61903720122209,0.837,0.402,0
STK39,0,-4.03049927656275,0.078,0.512,0
VAV3,0,-3.60658551990643,0.129,0.561,0
BCAS3,0,-4.99969575697744,0.044,0.474,0
EIF4G3,0,-3.66856885574157,0.125,0.553,0
EXOC4,0,-3.80229118077387,0.101,0.529,0
PITPNC1,0,-3.21808452247059,0.25,0.678,0
COG5,0,-4.50013330477283,0.052,0.48,0
LINC01578,0,-16.1923974718657,0,0.426,0
SEPT6,0,14.4666432947556,0.424,0,0
PLCB1,0,-5.01691668566063,0.055,0.477,0
ELMO1,0,-3.85503603684098,0.089,0.507,0
PIK3R5,0,-3.39546360317028,0.125,0.543,0
SNHG29,0,-16.2533165357874,0,0.417,0
SEPTIN6,0,-16.1049804931413,0,0.416,0
FAM172A,0,-3.11418499555098,0.192,0.607,0
SEPT1,0,14.3627177134929,0.415,0,0
IER2,0,2.0944687446533,0.785,0.371,0
PTPRJ,0,-3.74130096446319,0.098,0.511,0
PRKCQ,0,-3.6398665937406,0.096,0.509,0
EEF2,0,1.46673805805554,0.857,0.444,0
PLCL2,0,-3.72922902288333,0.1,0.512,0
KDM6A,0,-4.3492565466022,0.059,0.471,0
RASA2,0,-3.01083830419573,0.19,0.601,0
MCTP2,0,-3.04227348475991,0.199,0.609,0
LAPTM5,0,1.3916292912217,0.811,0.402,0
LY6E,0,1.81460245642788,0.684,0.275,0
FOS,0,2.81352501176656,0.517,0.109,0
PCED1B,0,-4.19106608499789,0.068,0.476,0
FXYD5,0,1.53573088595225,0.748,0.34,0
LSP1,0,1.50358255539276,0.811,0.406,0
PAN3,0,-3.29372765059228,0.15,0.554,0
SNHG6,0,-16.0947059578193,0,0.404,0
NFKBIA,0,2.58470246960202,0.589,0.186,0
TNIK,0,-3.14385664539815,0.163,0.566,0
UTRN,0,-3.00268531334588,0.4,0.801,0
ANKRD44,0,-2.75380727971066,0.366,0.765,0
AGTPBP1,0,-3.12813314481234,0.164,0.561,0
VTI1A,0,-3.74252150209187,0.092,0.489,0
BIRC6,0,-2.81404490342991,0.21,0.606,0
RESF1,0,-16.0927765264375,0,0.396,0
CTSD,0,1.63872133798044,0.684,0.29,0
ATP5ME,0,1.47176421250156,0.681,0.288,0
ZCCHC7,0,-3.56322623837822,0.12,0.512,0
CD7,0,2.0454902350293,0.791,0.399,0
UQCR11,0,1.34977429025793,0.794,0.402,0
PARP8,0,-2.83325162266976,0.317,0.709,0
TGFBR3,0,-2.98638301699032,0.237,0.626,0
PACS1,0,-3.42754886935527,0.135,0.524,0
TOX,0,-3.6467415584508,0.123,0.511,0
C8orf59,0,14.1549613550509,0.388,0,0
A2M,0,-6.78900190299185,0.009,0.397,0
ARID1B,0,-2.62858837235603,0.253,0.64,0
IQGAP2,0,-2.74204065234665,0.327,0.712,0
NDUFA3,0,1.69269435408281,0.566,0.183,0
POLR2L,0,1.51119153259433,0.682,0.301,0
MAP3K5,0,-4.51099895268256,0.044,0.425,0
AP001011.1,0,-14.5867668072064,0,0.379,0
CARD11,0,-3.26490377536097,0.112,0.489,0
FAM96B,0,14.056163147408,0.377,0,0
VAMP2,0,1.39382348303136,0.704,0.327,0
RORA-AS1,0,-7.9777247118771,0.004,0.38,0
KDM4C,0,-3.34300791821375,0.106,0.479,0
PPP6R3,0,-3.20492273290982,0.107,0.48,0
SPIDR,0,-4.39561047039784,0.052,0.424,0
NME2,0,-3.83640251714503,0.061,0.433,0
CLASP1,0,-4.02525753583068,0.054,0.424,0
BSG,0,1.60342083313977,0.614,0.244,0
TOMM6,0,-15.7309757571997,0,0.37,0
FBXW7,0,-3.41530777546638,0.111,0.48,0
MAML2,0,-4.79576698066165,0.055,0.424,0
SKAP1,0,-3.12896299097509,0.448,0.817,0
ELOB,0,1.13361748102112,0.771,0.403,0
DOCK8,0,-2.60815656862583,0.266,0.633,0
GAS5,0,-16.0544735225193,0,0.367,0
DOCK2,0,-2.89455996095688,0.175,0.541,0
ATP5MPL,0,1.28653250628182,0.662,0.296,0
TBC1D22A,0,-3.39463173729687,0.104,0.47,0
PCNX1,0,-3.2671372216381,0.114,0.479,0
ANKHD1,0,-3.98172221322871,0.054,0.418,0
HERC1,0,-2.89755610592956,0.154,0.517,0
LIMD2,0,1.39107366208469,0.733,0.37,0
GPSM3,0,1.22271938185485,0.687,0.325,0
COX6B1,0,1.08758722962597,0.753,0.391,0
KMT2C,0,-2.80060412330801,0.188,0.549,0
TPI1,0,1.4076389690813,0.666,0.305,0
PUM2,0,-3.09593290638632,0.122,0.483,0
COX8A,0,1.24946488477524,0.701,0.34,0
HSPA8,0,1.33131513258423,0.824,0.464,0
SOS1,0,-3.55696309675315,0.089,0.448,0
C6orf48,0,14.1541190778111,0.359,0,0
CD74,0,0.910067153505893,0.791,0.433,0
MBD5,0,-3.22283760175492,0.145,0.503,0
KIAA1551,0,14.1841000439437,0.358,0,0
JUN,0,2.31564164179017,0.698,0.341,0
TRAPPC9,0,-4.68912880362855,0.034,0.39,0
BCL11B,0,-2.73650124758685,0.165,0.521,0
EDF1,0,1.18006704544131,0.767,0.412,0
UBB,0,1.81490554136407,0.95,0.595,0
NDUFA1,0,1.11552153867147,0.682,0.328,0
GZMM,0,1.35421082090501,0.826,0.472,0
MICOS10,0,-15.6895891541603,0,0.354,0
DYRK1A,0,-3.24218406485295,0.104,0.456,0
ARIH1,0,-3.17509000062354,0.107,0.458,0
GUK1,0,1.15635517435484,0.733,0.383,0
ID2,0,1.43657071960659,0.835,0.485,0
GAPDH,0,1.403053366193,0.905,0.555,0
AOAH,0,-3.23435662622748,0.328,0.677,0
DUSP2,0,3.00569870054383,0.437,0.088,0
DENND4A,0,-3.55480346006597,0.079,0.428,0
TUBA1B,0,1.3192195681167,0.64,0.292,0
ICAM3,0,1.36504631914377,0.638,0.29,0
SEPTIN9,0,-15.6570994694696,0,0.348,0
