"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.77056471452418,0.955,0.15,0,"NK_CD16high","CST7"
0,2.2305667048429,0.935,0.144,0,"NK_CD16high","KLRD1"
0,3.0237947352279,0.927,0.138,0,"NK_CD16high","GZMB"
0,2.53029594691848,0.92,0.139,0,"NK_CD16high","PRF1"
0,2.78713769041552,0.895,0.122,0,"NK_CD16high","CTSW"
0,2.31828869402131,0.957,0.189,0,"NK_CD16high","GZMA"
0,3.00239767714363,0.893,0.126,0,"NK_CD16high","FGFBP2"
0,2.75473667226363,0.846,0.081,0,"NK_CD16high","HOPX"
0,2.57025145577877,0.827,0.079,0,"NK_CD16high","KLRF1"
0,2.35357628199187,0.837,0.094,0,"NK_CD16high","FCGR3A"
0,2.72834317403268,0.807,0.072,0,"NK_CD16high","TRDC"
0,2.12575448394852,0.876,0.155,0,"NK_CD16high","TYROBP"
0,2.33907724440393,0.866,0.152,0,"NK_CD16high","GZMH"
0,1.9525718578773,0.826,0.14,0,"NK_CD16high","GZMM"
0,1.53508438608806,0.819,0.137,0,"NK_CD16high","CD63"
0,1.50063970335961,0.805,0.13,0,"NK_CD16high","EFHD2"
0,1.8865359927001,0.945,0.27,0,"NK_CD16high","HCST"
0,1.58301179103198,0.876,0.206,0,"NK_CD16high","ITGB2"
0,1.79503240796473,0.926,0.267,0,"NK_CD16high","IFITM2"
0,1.08203447411086,0.871,0.222,0,"NK_CD16high","CLIC1"
0,1.61314722883978,0.835,0.187,0,"NK_CD16high","RAC2"
0,1.27066874652601,0.854,0.207,0,"NK_CD16high","CD99"
0,1.16483414810072,0.933,0.291,0,"NK_CD16high","SRGN"
0,2.43489326189614,0.717,0.075,0,"NK_CD16high","CCL4"
0,1.37376107393293,0.818,0.183,0,"NK_CD16high","LITAF"
0,1.5708584604468,0.963,0.33,0,"NK_CD16high","CYBA"
0,1.49456362004606,0.807,0.175,0,"NK_CD16high","ID2"
0,1.45288840568666,0.833,0.201,0,"NK_CD16high","PLAC8"
0,2.54320575914765,0.71,0.08,0,"NK_CD16high","SPON2"
0,2.99016622177125,0.678,0.05,0,"NK_CD16high","CLIC3"
0,1.03800117697656,0.894,0.266,0,"NK_CD16high","MYL12B"
0,1.52933257174354,0.734,0.111,0,"NK_CD16high","PLEK"
0,2.69640697415407,0.989,0.368,0,"NK_CD16high","NKG7"
0,1.2478189840916,0.946,0.33,0,"NK_CD16high","CD247"
0,1.18480993054342,0.942,0.326,0,"NK_CD16high","ARPC2"
0,1.41785231535816,0.743,0.129,0,"NK_CD16high","GSTP1"
0,0.920647129353999,0.85,0.237,0,"NK_CD16high","ANXA1"
0,1.10904176379395,0.86,0.247,0,"NK_CD16high","EMP3"
0,0.916006051544227,0.859,0.249,0,"NK_CD16high","CHCHD2"
0,2.43958741160273,0.732,0.124,0,"NK_CD16high","KLRB1"
0,1.62540848595143,0.709,0.104,0,"NK_CD16high","C12orf75"
0,1.23055849708772,0.749,0.145,0,"NK_CD16high","DBI"
0,0.938546460419955,0.826,0.224,0,"NK_CD16high","CD53"
0,0.788999724822226,0.897,0.297,0,"NK_CD16high","SRP14"
0,1.24480088900841,0.821,0.222,0,"NK_CD16high","PSME1"
0,1.16731536759167,0.868,0.269,0,"NK_CD16high","CORO1A"
0,0.985470514390519,0.878,0.285,0,"NK_CD16high","GAPDH"
0,2.16623555036297,0.735,0.142,0,"NK_CD16high","CD7"
0,0.96770484188238,0.909,0.317,0,"NK_CD16high","TMA7"
0,0.984981340791668,0.771,0.18,0,"NK_CD16high","PSMB9"
0,0.969136169544556,0.924,0.333,0,"NK_CD16high","PPIA"
0,1.44231113596295,0.719,0.129,0,"NK_CD16high","PYHIN1"
0,2.71392723164736,0.936,0.347,0,"NK_CD16high","GNLY"
0,1.41090091354488,0.963,0.374,0,"NK_CD16high","CFL1"
0,1.3977864229364,0.747,0.159,0,"NK_CD16high","PPIB"
0,0.572224758279174,0.882,0.296,0,"NK_CD16high","ARPC3"
0,1.26942092609511,0.737,0.152,0,"NK_CD16high","SAMD3"
0,0.844770049672332,0.918,0.333,0,"NK_CD16high","ARHGDIB"
0,1.01358806552098,0.798,0.214,0,"NK_CD16high","HLA-F"
0,1.11913853329042,0.766,0.183,0,"NK_CD16high","BIN2"
0,0.781085908318455,0.799,0.22,0,"NK_CD16high","SUMO2"
0,2.02041680336635,0.647,0.069,0,"NK_CD16high","APMAP"
0,1.39683945577761,0.713,0.136,0,"NK_CD16high","NDUFB2"
0,0.923088279826274,0.774,0.198,0,"NK_CD16high","COX6C"
0,2.34034276850943,0.698,0.124,0,"NK_CD16high","IFITM1"
0,1.18150850991956,0.742,0.169,0,"NK_CD16high","LSP1"
0,1.02393193148082,0.773,0.2,0,"NK_CD16high","UBL5"
0,1.26344508145231,0.685,0.114,0,"NK_CD16high","CTSC"
0,0.661958629008882,0.92,0.349,0,"NK_CD16high","RAP1B"
0,1.09292264881512,0.759,0.19,0,"NK_CD16high","IL2RG"
0,1.09917109872682,0.764,0.196,0,"NK_CD16high","ARL4C"
0,1.01777669691867,0.918,0.353,0,"NK_CD16high","UBB"
0,0.597308145230749,0.738,0.175,0,"NK_CD16high","MYO1F"
0,1.10102047410859,0.959,0.397,0,"NK_CD16high","CALM1"
0,0.557582091349808,0.899,0.341,0,"NK_CD16high","RPL36AL"
0,1.37181127619496,0.727,0.171,0,"NK_CD16high","TRBC1"
0,1.31425543538263,0.68,0.128,0,"NK_CD16high","PPP1CA"
0,0.444621737912818,0.87,0.319,0,"NK_CD16high","COX4I1"
0,2.3110108663192,0.646,0.096,0,"NK_CD16high","CMC1"
0,1.01761923826297,0.734,0.184,0,"NK_CD16high","EDF1"
0,0.557178534424497,0.804,0.254,0,"NK_CD16high","ATP5MC2"
0,2.08957300589655,0.935,0.387,0,"NK_CD16high","CCL5"
0,0.789924719362141,0.847,0.3,0,"NK_CD16high","RPS26"
0,0.536379279749479,0.777,0.231,0,"NK_CD16high","RHOA"
0,1.56181499454772,0.65,0.104,0,"NK_CD16high","ABHD17A"
0,1.27859015278788,0.66,0.117,0,"NK_CD16high","OSTF1"
0,0.937584130622966,0.774,0.231,0,"NK_CD16high","HSPA8"
0,0.538035396639738,0.844,0.301,0,"NK_CD16high","COX7C"
0,0.984855116082415,0.961,0.418,0,"NK_CD16high","MYL12A"
0,0.433583393932979,0.81,0.268,0,"NK_CD16high","SUB1"
0,0.497222850161073,0.805,0.263,0,"NK_CD16high","LCP1"
0,1.04909338061657,0.708,0.167,0,"NK_CD16high","PSMA7"
0,1.46694244467345,0.693,0.152,0,"NK_CD16high","LGALS1"
0,0.42603471381112,0.877,0.338,0,"NK_CD16high","ATP5MG"
0,0.636375923378069,0.747,0.209,0,"NK_CD16high","ATP6V0E1"
0,0.705406388945309,0.742,0.204,0,"NK_CD16high","MSN"
0,0.964090658663914,0.723,0.185,0,"NK_CD16high","SSR4"
0,1.07003264986989,0.722,0.184,0,"NK_CD16high","CRIP1"
0,0.376127680340286,0.818,0.281,0,"NK_CD16high","COMMD6"
0,1.19220962576771,0.672,0.137,0,"NK_CD16high","VAMP8"
0,0.978160334683588,0.696,0.161,0,"NK_CD16high","PDIA3"
0,1.23751399669001,0.738,0.205,0,"NK_CD16high","UQCR11"
0,0.955180443670504,0.705,0.172,0,"NK_CD16high","COX7A2"
0,0.668273056108861,0.832,0.3,0,"NK_CD16high","HSP90AA1"
0,0.764322912554299,0.73,0.198,0,"NK_CD16high","TRIR"
0,0.724313901819265,0.938,0.406,0,"NK_CD16high","UBC"
0,1.27044540491416,0.66,0.129,0,"NK_CD16high","COX8A"
0,0.645338754392666,0.897,0.366,0,"NK_CD16high","HNRNPA1"
0,0.796563577294748,0.728,0.198,0,"NK_CD16high","TMBIM6"
0,2.36376187638645,0.575,0.045,0,"NK_CD16high","MATK"
0,0.363051636515683,0.79,0.261,0,"NK_CD16high","GMFG"
0,0.986071177141189,0.973,0.445,0,"NK_CD16high","HLA-E"
0,0.454573757824143,0.907,0.379,0,"NK_CD16high","EEF1D"
0,1.51067101686513,0.978,0.45,0,"NK_CD16high","PFN1"
0,1.57780316180226,0.618,0.092,0,"NK_CD16high","DHRS7"
0,0.518969416298948,0.844,0.32,0,"NK_CD16high","CDC42"
0,1.76232989521565,0.589,0.065,0,"NK_CD16high","APOBEC3G"
0,0.54045465968066,0.76,0.24,0,"NK_CD16high","TPM3"
0,0.807083590677092,0.704,0.184,0,"NK_CD16high","SSR2"
0,1.18716033641803,0.681,0.161,0,"NK_CD16high","EIF3G"
0,0.463679274192887,0.772,0.253,0,"NK_CD16high","FAM49B"
0,0.900092129325302,0.944,0.426,0,"NK_CD16high","MYL6"
0,0.594761825934623,0.781,0.263,0,"NK_CD16high","EVL"
0,0.797086721632958,0.737,0.219,0,"NK_CD16high","MBP"
0,1.34368547378498,0.626,0.108,0,"NK_CD16high","NDUFB7"
0,0.538225755255797,0.749,0.234,0,"NK_CD16high","EIF3K"
0,0.557655669605185,0.729,0.215,0,"NK_CD16high","NDUFA4"
0,0.310776978335725,0.852,0.338,0,"NK_CD16high","UQCRB"
0,0.598904594314777,0.73,0.216,0,"NK_CD16high","YWHAB"
0,0.397684200862224,0.903,0.39,0,"NK_CD16high","HMGB1"
0,1.07572138096273,0.954,0.441,0,"NK_CD16high","SH3BGRL3"
0,0.271105586009242,0.79,0.279,0,"NK_CD16high","S100A10"
0,0.636560160086389,0.72,0.209,0,"NK_CD16high","ARL6IP5"
0,0.671467407328469,0.96,0.449,0,"NK_CD16high","H3F3B"
0,0.624528039427877,0.77,0.26,0,"NK_CD16high","CIRBP"
0,0.905617802947163,0.707,0.199,0,"NK_CD16high","COX6B1"
0,1.14865400253038,0.621,0.114,0,"NK_CD16high","PRELID1"
0,0.376576237386784,0.825,0.319,0,"NK_CD16high","OST4"
0,0.572334324119862,0.77,0.265,0,"NK_CD16high","JAK1"
0,0.764580000087139,0.679,0.175,0,"NK_CD16high","COX5B"
0,1.40940430384707,0.611,0.107,0,"NK_CD16high","TPI1"
0,0.998446719129136,0.722,0.218,0,"NK_CD16high","ELOB"
0,1.57429629940992,0.566,0.063,0,"NK_CD16high","C1orf21"
0,0.29127780386261,0.823,0.32,0,"NK_CD16high","SRSF5"
0,0.371852720071056,0.732,0.232,0,"NK_CD16high","ARPC1B"
0,1.44976995958808,0.617,0.117,0,"NK_CD16high","POLR2L"
0,1.06307072974912,0.654,0.154,0,"NK_CD16high","COX6A1"
0,1.19972313810913,0.658,0.158,0,"NK_CD16high","CALR"
0,0.755757332397152,0.942,0.442,0,"NK_CD16high","ATP5F1E"
0,0.603221570781613,0.695,0.196,0,"NK_CD16high","CAPZB"
0,0.574463415362712,0.689,0.19,0,"NK_CD16high","ARPC5"
0,1.38587824278395,0.598,0.1,0,"NK_CD16high","CTSD"
0,0.950122932736557,0.646,0.149,0,"NK_CD16high","NEDD8"
0,1.97068870044332,0.541,0.045,0,"NK_CD16high","ADGRG1"
0,1.13728795907946,0.609,0.113,0,"NK_CD16high","RUNX3"
