,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
TRAC,0,1.62970171896335,0.902,0.43,0,Treg,TRAC
IKZF2,0,3.23009716483783,0.526,0.069,0,Treg,IKZF2
CD3D,0,1.04412947065498,0.895,0.439,0,Treg,CD3D
RTKN2,0,5.69784853060997,0.468,0.015,0,Treg,RTKN2
ZEB2,0,-5.02776401079362,0.049,0.488,0,Treg,ZEB2
LEF1,0,1.49283126270326,0.651,0.217,0,Treg,LEF1
CD27,0,2.03631547429804,0.629,0.199,0,Treg,CD27
LTB,0,1.06359763002799,0.93,0.507,0,Treg,LTB
CD3G,0,1.10847223154929,0.791,0.368,0,Treg,CD3G
ANXA1,0,-2.24909499597043,0.241,0.662,0,Treg,ANXA1
PLEK,0,-4.69713709457664,0.036,0.453,0,Treg,PLEK
IL2RA,0,4.6972058709158,0.42,0.023,0,Treg,IL2RA
RCAN3,0,1.64207037223725,0.601,0.214,0,Treg,RCAN3
TYROBP,0,-5.09759876191,0.083,0.465,0,Treg,TYROBP
CD3E,0,0.768381057226796,0.861,0.48,0,Treg,CD3E
BIRC3,0,1.56586077946519,0.622,0.247,0,Treg,BIRC3
CAMK4,0,1.252566659341,0.606,0.233,0,Treg,CAMK4
CCL5,0,-4.93756399029792,0.135,0.507,0,Treg,CCL5
ARID5B,0,1.31416764002178,0.69,0.319,0,Treg,ARID5B
IL32,0,1.19712553289595,0.943,0.574,0,Treg,IL32
PLAC8,0,-2.12857427560001,0.237,0.6,0,Treg,PLAC8
NKG7,0,-5.23599758421348,0.163,0.519,0,Treg,NKG7
TIGIT,0,2.00986669842453,0.483,0.136,0,Treg,TIGIT
STAM,0,2.83669743025979,0.436,0.094,0,Treg,STAM
TBC1D4,0,2.66004646736895,0.426,0.091,0,Treg,TBC1D4
LDHB,0,1.23079931727664,0.883,0.551,0,Treg,LDHB
ID2,0,-2.40166578699009,0.149,0.479,0,Treg,ID2
LYN,0,-5.15341037716978,0.023,0.35,0,Treg,LYN
BCL11B,0,0.922487777277027,0.668,0.344,0,Treg,BCL11B
GZMA,0,-3.87128929125148,0.092,0.41,0,Treg,GZMA
PIK3IP1,0,1.11177498987227,0.658,0.341,0,Treg,PIK3IP1
MAL,0,1.75891718591701,0.464,0.148,0,Treg,MAL
AOAH,0,-4.85241135426894,0.033,0.343,0,Treg,AOAH
ISG20,0,1.08799344423209,0.795,0.485,0,Treg,ISG20
SPOCK2,0,1.09979810420213,0.612,0.309,0,Treg,SPOCK2
TTC39C,0,1.46535308313428,0.612,0.31,0,Treg,TTC39C
KLRD1,0,-5.56173029694604,0.027,0.325,0,Treg,KLRD1
CTSW,0,-3.92172709630673,0.092,0.389,0,Treg,CTSW
ETS1,0,0.925376269939138,0.762,0.465,0,Treg,ETS1
GZMH,0,-5.12803136667524,0.048,0.342,0,Treg,GZMH
LEPROTL1,0,1.05608821923154,0.71,0.416,0,Treg,LEPROTL1
EFHD2,0,-2.5427694927967,0.176,0.468,0,Treg,EFHD2
SKAP1,0,0.933978119236881,0.765,0.473,0,Treg,SKAP1
AQP3,0,1.94432802300009,0.416,0.126,0,Treg,AQP3
FGR,0,-4.61552127002472,0.021,0.31,0,Treg,FGR
GNLY,0,-5.35706303926596,0.152,0.44,0,Treg,GNLY
GZMB,0,-5.19988741832658,0.051,0.339,0,Treg,GZMB
TRBC2,0,1.31718597425319,0.815,0.528,0,Treg,TRBC2
PBXIP1,0,1.45805033306915,0.531,0.247,0,Treg,PBXIP1
CD28,0,2.1015338234174,0.387,0.104,0,Treg,CD28
FGFBP2,0,-5.49392731070358,0.038,0.321,0,Treg,FGFBP2
RHOH,0,1.04605608287478,0.662,0.381,0,Treg,RHOH
HOPX,0,-4.51494453190465,0.039,0.318,0,Treg,HOPX
FOXP3,0,7.45668754523547,0.281,0.002,0,Treg,FOXP3
FCGR3A,0,-5.23885664761322,0.026,0.303,0,Treg,FCGR3A
PLCL1,0,2.12563838720102,0.393,0.121,0,Treg,PLCL1
CASK,0,1.97713261920157,0.464,0.194,0,Treg,CASK
SELL,0,0.873724194866849,0.697,0.429,0,Treg,SELL
DUSP16,0,2.44235391977013,0.339,0.081,0,Treg,DUSP16
TTN,0,2.55324760641365,0.333,0.076,0,Treg,TTN
THEM4,0,1.78175139730622,0.384,0.129,0,Treg,THEM4
OCIAD2,0,1.15279412416854,0.531,0.276,0,Treg,OCIAD2
SLFN5,0,1.15198495291886,0.58,0.326,0,Treg,SLFN5
EPB41,0,0.950368254361685,0.73,0.479,0,Treg,EPB41
CTLA4,0,4.55802510696773,0.26,0.013,0,Treg,CTLA4
GBP5,0,1.40918316756368,0.447,0.212,0,Treg,GBP5
FAM102A,0,1.58113052302498,0.355,0.124,0,Treg,FAM102A
ICOS,0,2.29769658200875,0.299,0.075,0,Treg,ICOS
ZNF101,0,1.59431351586604,0.329,0.123,0,Treg,ZNF101
PVT1,0,1.53183859433626,0.344,0.141,0,Treg,PVT1
TRAF1,0,1.82889237592127,0.286,0.089,0,Treg,TRAF1
SUSD3,0,1.34872050184668,0.314,0.119,0,Treg,SUSD3
TNFRSF25,0,1.67908493586718,0.289,0.096,0,Treg,TNFRSF25
ATP8B2,0,1.80839557767229,0.277,0.088,0,Treg,ATP8B2
SARAF,0,0.656313427995252,0.915,0.752,0,Treg,SARAF
TPT1,0,0.388712593332203,0.986,0.973,0,Treg,TPT1
SOD1,4.21760040577617e-304,0.797191684368262,0.796,0.571,1.45296333978989e-299,Treg,SOD1
RPL11,2.02110517252884e-302,0.427329340019988,0.986,0.949,6.96270731936185e-298,Treg,RPL11
GSTP1,1.10201264208317e-293,-1.78071374123596,0.34,0.574,3.79643355197652e-289,Treg,GSTP1
DGKA,6.95703509700972e-290,1.23539664361067,0.382,0.169,2.39669859091985e-285,Treg,DGKA
INPP4B,3.33149528327605e-287,0.997567431724922,0.477,0.229,1.1477001250886e-282,Treg,INPP4B
RGCC,4.83138972891275e-282,1.199550572145,0.355,0.152,1.66441376161044e-277,Treg,RGCC
CORO1B,1.4190792271296e-275,1.43867095358859,0.435,0.223,4.88872793746147e-271,Treg,CORO1B
CCL4,9.16899640630971e-272,-4.98229341318062,0.024,0.273,3.1587192619737e-267,Treg,CCL4
RPS8,1.34661914674109e-269,0.425945746474038,0.98,0.939,4.63910296052304e-265,Treg,RPS8
FCER1G,3.20793533798698e-269,-3.73290357454988,0.106,0.355,1.10513372393651e-264,Treg,FCER1G
CLDND1,2.36227643734011e-268,1.29852340524764,0.404,0.195,8.13804232663667e-264,Treg,CLDND1
SESN3,2.91018918042683e-264,1.30811514608514,0.403,0.193,1.00256017265704e-259,Treg,SESN3
ITK,3.13911894085789e-263,0.938393503502579,0.527,0.277,1.08142647512554e-258,Treg,ITK
CD2,2.13380139897658e-259,0.704800267702645,0.732,0.445,7.35094581947431e-255,Treg,CD2
FCMR,1.20151837448702e-257,0.975991254035156,0.491,0.253,4.13923080010778e-253,Treg,FCMR
MEF2C,5.91195265499205e-257,-5.56524776046045,0.014,0.251,2.03666768964476e-252,Treg,MEF2C
CYBA,1.43804565658917e-254,-0.986680133890216,0.821,0.844,4.95406728694971e-250,Treg,CYBA
ZEB1,4.1916426205699e-253,1.13694945256278,0.383,0.176,1.44402088278633e-248,Treg,ZEB1
NABP1,9.72580707705464e-253,1.33662655086705,0.341,0.155,3.35054053804532e-248,Treg,NABP1
IFITM2,1.26616282258535e-245,-1.42616365169718,0.583,0.73,4.36193092380653e-241,Treg,IFITM2
AC058791.1,5.03745246495516e-244,1.41753476727363,0.297,0.124,1.73540237417705e-239,Treg,AC058791.1
TRAF3IP3,1.26447773218726e-243,0.704326343131421,0.799,0.604,4.35612578738512e-239,Treg,TRAF3IP3
RPL13,9.57571163048484e-242,0.400324722520851,0.989,0.96,3.29883265670203e-237,Treg,RPL13
CST3,8.47475137524198e-241,-4.73182049930983,0.067,0.299,2.91955184877086e-236,Treg,CST3
RPL36,3.12701578730046e-238,0.507058777141715,0.967,0.911,1.07725693872501e-233,Treg,RPL36
SIT1,1.46581562981182e-236,1.43281044914857,0.288,0.12,5.04973484470171e-232,Treg,SIT1
