,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AES,0,16.6822390793383,0.877,0,0
GAS5,0,-18.3343032259744,0,0.872,0
SNHG29,0,-18.2688259426227,0,0.868,0
TLE5,0,-17.7501172351489,0,0.846,0
SNHG6,0,-17.7146168139355,0,0.832,0
SEPTIN7,0,-17.5164602620757,0,0.817,0
PCED1B-AS1,0,-17.693573368576,0,0.815,0
SEPT7,0,16.1667559440008,0.813,0,0
RARRES3,0,15.9837307381476,0.756,0,0
AC079793.1,0,-12.2043082532583,0.001,0.752,0
LINC01578,0,-17.3077319797436,0,0.719,0
SEPTIN6,0,-17.0805404809481,0,0.692,0
SNHG5,0,-17.0457840645496,0,0.681,0
LIME1,0,-7.97971589444501,0.006,0.682,0
C6orf48,0,15.5552202523325,0.648,0,0
DPYD,0,-4.19374341296254,0.134,0.776,0
NME2,0,-4.1552785913239,0.081,0.714,0
PLAAT4,0,-16.7888714297702,0,0.63,0
SEPT9,0,15.2706962908701,0.627,0,0
TOMM6,0,-16.4332401296906,0,0.605,0
LRBA,0,-3.91142839455367,0.141,0.745,0
LINC01619,0,-17.4008912808745,0,0.603,0
SEPT6,0,15.3296146942243,0.602,0,0
KLF12,0,-3.67629554562504,0.187,0.772,0
SIK3,0,-4.61669128365031,0.09,0.669,0
MINOS1,0,14.9835486208738,0.576,0,0
MAML2,0,-4.13652250593688,0.195,0.768,0
DOCK10,0,-3.60044194592506,0.223,0.795,0
RNASEK,0,-3.58509667375274,0.094,0.665,0
AKT3,0,-4.22687850926911,0.098,0.668,0
RAPGEF6,0,-3.89771519375026,0.108,0.673,0
VPS13B,0,-4.23048411382796,0.076,0.64,0
STAG1,0,-3.62568314844991,0.156,0.72,0
SLC35F1,0,-14.6333555521021,0,0.56,0
RUNX1,0,-3.60450045160124,0.147,0.705,0
ZFAND3,0,-4.04082770468665,0.091,0.647,0
ANK3,0,-4.96739310250165,0.076,0.632,0
RABGAP1L,0,-3.51157613260402,0.224,0.779,0
CDKAL1,0,-4.32099407204728,0.07,0.621,0
MICOS10,0,-16.25310195563,0,0.55,0
SEPTIN9,0,-16.3353355450891,0,0.546,0
KIAA1551,0,15.1651287472196,0.539,0,0
BTBD9,0,-5.39071245697793,0.037,0.576,0
ELMO1,0,-3.54538251480397,0.146,0.684,0
RESF1,0,-16.4387357680042,0,0.538,0
SNHG32,0,-16.2968680690859,0,0.536,0
SMYD3,0,-4.65968282287976,0.07,0.6,0
AMBRA1,0,-5.39517262871997,0.022,0.552,0
KDM6A,0,-4.33936929442964,0.077,0.605,0
DENND4A,0,-3.84854844976116,0.114,0.64,0
FOXN3,0,-3.00116656888566,0.286,0.807,0
INPP4B,0,-3.5589680317991,0.262,0.783,0
OOEP,0,-8.80434849395433,0.002,0.522,0
PITPNC1,0,-3.27465039674486,0.243,0.762,0
PRKCQ-AS1,0,-16.4651181157686,0,0.519,0
RFX3,0,-4.66300993586999,0.053,0.571,0
SEPT1,0,14.8169042016937,0.517,0,0
MED13L,0,-3.62875288956116,0.125,0.641,0
SSH2,0,-3.19038667330364,0.206,0.72,0
ZBTB20,0,-2.90188236684181,0.312,0.825,0
TMEM131L,0,-3.78794349851747,0.105,0.617,0
C8orf59,0,14.7321639106819,0.512,0,0
TCF12,0,-4.05725871807246,0.084,0.596,0
FAF1,0,-4.02717216681998,0.086,0.597,0
ARIH1,0,-3.36750008079898,0.156,0.66,0
COP1,0,-3.96984068319302,0.076,0.576,0
ANKHD1,0,-3.79373219328427,0.076,0.573,0
PACS1,0,-3.22456439691701,0.203,0.696,0
BACH2,0,-4.7241722544285,0.083,0.574,0
HIVEP2,0,-3.50724885917321,0.12,0.608,0
PAN3,0,-3.07097340216943,0.172,0.657,0
HERC1,0,-3.01962374659947,0.191,0.676,0
CASK,0,-4.23259607308894,0.079,0.562,0
PCED1B,0,-2.94680887523075,0.192,0.673,0
ATXN1,0,-3.38228527598677,0.145,0.626,0
AP001011.1,0,-15.0061096219748,0,0.481,0
ARL15,0,-5.71494262819638,0.024,0.503,0
COG5,0,-3.76220578685356,0.088,0.567,0
PRKCQ,0,-3.20379888222184,0.132,0.611,0
EXOC4,0,-3.48151664738802,0.118,0.595,0
CDC14A,0,-3.24538916709167,0.212,0.686,0
RBFOX2,0,-8.92430437938343,0.001,0.475,0
TBC1D5,0,-3.72581773336736,0.096,0.568,0
IMMP2L,0,-5.02036745380186,0.049,0.52,0
ARHGAP15,0,-3.71511694347824,0.489,0.96,0
RBIS,0,-15.903114657675,0,0.469,0
JMJD1C,0,-2.85956106335098,0.291,0.759,0
ESYT2,0,-3.07237427565896,0.154,0.622,0
PLCL2,0,-3.29606980363899,0.121,0.586,0
NFKB1,0,-3.71951292928306,0.145,0.61,0
CBLB,0,-2.99060914696046,0.183,0.646,0
TNIK,0,-2.90034935148969,0.185,0.648,0
IFITM1,0,2.13976840043781,0.81,0.348,0
FAM172A,0,-2.87343425685571,0.195,0.657,0
ADK,0,-3.37437261278105,0.133,0.595,0
FBXL17,0,-4.15089047105291,0.065,0.526,0
POLR2J3.1,0,14.7540465750835,0.46,0,0
ATP11B,0,-3.11338345883846,0.134,0.594,0
UTRN,0,-2.48520183320557,0.341,0.795,0
RASA2,0,-2.67676808558795,0.221,0.672,0
ARHGEF18,0,-9.2441698491474,0.002,0.452,0
NCOA2,0,-3.48990789030946,0.094,0.542,0
ZCCHC7,0,-2.88001374237676,0.184,0.631,0
C5orf56,0,-15.986816773261,0,0.445,0
BCAS3,0,-4.54707777212691,0.046,0.489,0
CEP85L,0,-2.73512249005828,0.197,0.639,0
RNF38,0,-3.41309211920372,0.097,0.538,0
KDM4C,0,-3.08019743723748,0.126,0.567,0
SKAP1,0,-2.81708573733712,0.467,0.907,0
PRKCH,0,-2.58286702673083,0.392,0.832,0
BCL11B,0,-2.22671145900829,0.435,0.874,0
PICALM,0,-3.24085573687229,0.112,0.55,0
EEF1G,0,-2.86583679580704,0.511,0.948,0
MRTFA,0,-16.171632403924,0,0.436,0
PPP6R3,0,-2.84216761432942,0.142,0.577,0
THEMIS,0,-2.9567535425756,0.256,0.69,0
PELI1,0,-4.69893605027217,0.048,0.481,0
ATP9B,0,-3.36736530005444,0.094,0.525,0
CXCR4,0,2.40249461061197,0.848,0.417,0
KMT2C,0,-2.63408855555344,0.25,0.68,0
FOXO1,0,-3.29856792026411,0.128,0.558,0
CCNH,0,-2.61006967672384,0.191,0.621,0
RORA-AS1,0,-6.28658735385955,0.01,0.44,0
CHD2,0,-2.28286520170326,0.308,0.738,0
PUM2,0,-2.60407932096554,0.171,0.601,0
BIRC6,0,-2.39101572540815,0.253,0.681,0
VTI1A,0,-3.34148710683068,0.108,0.535,0
LINC01138,0,-15.8899837820686,0,0.427,0
NR3C2,0,-4.9374925765833,0.038,0.464,0
NCOA1,0,-3.09515280421266,0.127,0.552,0
ZEB1,0,-3.3467066371847,0.121,0.546,0
IL6ST,0,-2.66319759625331,0.218,0.64,0
