,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AES,0,16.8207824457959,0.877,0,0
AC079793.1,0,-13.0007118696104,0.001,0.836,0
SEPT7,0,16.3052993104584,0.813,0,0
GAS5,0,-18.2633460887368,0,0.803,0
SNHG29,0,-18.1329717474728,0,0.789,0
SEPTIN7,0,-17.6850474137791,0,0.78,0
TLE5,0,-17.6129820912951,0,0.763,0
RARRES3,0,16.1222741046052,0.756,0,0
PCED1B-AS1,0,-17.5088993952774,0,0.721,0
SNHG6,0,-17.3862832360698,0,0.713,0
LINC01578,0,-17.3306415987304,0,0.712,0
LINC01619,0,-17.8974898506133,0,0.696,0
DPYD,0,-4.54468329530165,0.134,0.801,0
ANK3,0,-5.65525710588395,0.076,0.732,0
C6orf48,0,15.6937636187901,0.648,0,0
SEPTIN6,0,-17.0575769186361,0,0.638,0
SNHG5,0,-17.1068595959523,0,0.628,0
SEPT9,0,15.4092396573277,0.627,0,0
LRBA,0,-4.14027369816727,0.141,0.763,0
DOCK10,0,-3.87608907589813,0.223,0.83,0
SEPT6,0,15.4681580606819,0.602,0,0
VPS13B,0,-4.60187357382351,0.076,0.677,0
RAPGEF6,0,-4.28219581153329,0.108,0.709,0
KLF12,0,-3.90104163980827,0.187,0.788,0
RUNX1,0,-3.97570334948881,0.147,0.745,0
AP001011.1,0,-15.9888787959916,0,0.592,0
MAML2,0,-4.34184072593642,0.195,0.779,0
RABGAP1L,0,-3.89573387356413,0.224,0.806,0
ZFAND3,0,-4.3522400973892,0.091,0.672,0
STAG1,0,-3.84098485121548,0.156,0.737,0
CDKAL1,0,-4.61675511006323,0.07,0.648,0
MINOS1,0,15.1220919873314,0.576,0,0
ELMO1,0,-3.8442692278121,0.146,0.722,0
BTBD9,0,-5.66934177527966,0.037,0.61,0
SIK3,0,-4.54540714125741,0.09,0.662,0
MED13L,0,-3.95133390800538,0.125,0.686,0
IFITM1,0,2.71891031000819,0.81,0.251,0
NME2,0,-4.13358787975914,0.081,0.638,0
AKT3,0,-4.37687914858431,0.098,0.654,0
SSH2,0,-3.52991030327249,0.206,0.757,0
ZBTB20,0,-3.22248051111252,0.312,0.862,0
INPP4B,0,-3.88151566975573,0.262,0.809,0
COP1,0,-4.35490635535349,0.076,0.622,0
SMYD3,0,-4.8936540451396,0.07,0.614,0
KIAA1551,0,15.3036721136772,0.539,0,0
COG5,0,-4.21901174855398,0.088,0.626,0
TMEM131L,0,-4.04686150366915,0.105,0.642,0
FAF1,0,-4.27132174308082,0.086,0.62,0
PACS1,0,-3.53686129778949,0.203,0.737,0
RESF1,0,-16.7149595584205,0,0.534,0
FOXN3,0,-3.21191683661376,0.286,0.819,0
LIME1,0,-7.57638626462482,0.006,0.535,0
PLAAT4,0,-16.5117139162707,0,0.528,0
KDM6A,0,-4.29160584769256,0.077,0.603,0
TCF12,0,-4.28690746038532,0.084,0.61,0
TOMM6,0,-16.3719324648021,0,0.526,0
SEPT1,0,14.9554475681513,0.517,0,0
PITPNC1,0,-3.39589211061052,0.243,0.76,0
BACH2,0,-5.02083394073537,0.083,0.599,0
PCED1B,0,-3.36598556295956,0.192,0.705,0
C8orf59,0,14.8707072771396,0.512,0,0
IMMP2L,0,-5.46530261563649,0.049,0.56,0
TBC1D5,0,-4.11150965779862,0.096,0.606,0
ANKHD1,0,-4.02923641552383,0.076,0.584,0
PRKCQ,0,-3.57723885163047,0.132,0.638,0
ARIH1,0,-3.40215877403073,0.156,0.661,0
PLCL2,0,-3.69847115071707,0.121,0.624,0
EXOC4,0,-3.77633912815256,0.118,0.618,0
SEPTIN9,0,-16.3369113441241,0,0.496,0
ARL15,0,-6.05316768079215,0.024,0.518,0
DENND4A,0,-3.70902087049369,0.114,0.608,0
FAM172A,0,-3.20177034104163,0.195,0.689,0
PAN3,0,-3.30561845042217,0.172,0.663,0
FBXL17,0,-4.49076429927909,0.065,0.555,0
PRKCQ-AS1,0,-16.6610312935649,0,0.49,0
JMJD1C,0,-3.0380225310279,0.291,0.776,0
ARHGAP15,0,-3.89326830890734,0.489,0.974,0
MICOS10,0,-16.2098887823707,0,0.484,0
HERC1,0,-3.07794510373231,0.191,0.674,0
AMBRA1,0,-5.41116972921725,0.022,0.5,0
PCNX1,0,-3.01370824198834,0.213,0.691,0
TNIK,0,-3.16603433831633,0.185,0.662,0
UTRN,0,-2.84753822076471,0.341,0.818,0
RFX3,0,-4.65760288890667,0.053,0.528,0
ATXN1,0,-3.56586350138957,0.145,0.617,0
PICALM,0,-3.63019148537979,0.112,0.584,0
PRKCA,0,-3.76066692043943,0.206,0.676,0
CXCR4,0,2.63480219471604,0.848,0.378,0
RASA2,0,-2.95848217845633,0.221,0.691,0
KDM4C,0,-3.39900706829341,0.126,0.593,0
PRKCH,0,-2.86102466936532,0.392,0.859,0
CDC14A,0,-3.2973804992382,0.212,0.678,0
NCOA2,0,-3.81376815495196,0.094,0.559,0
HIVEP2,0,-3.61820218009537,0.12,0.585,0
RORA-AS1,0,-6.78944611195209,0.01,0.475,0
THEMIS,0,-3.27416799121937,0.256,0.719,0
ARHGEF18,0,-9.50769304204152,0.002,0.464,0
CHST11,0,-3.66830274922245,0.117,0.579,0
