,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
GZMH,0,2.28968574621659,0.952,0.265,0,CD4+ effector T cell,GZMH
FGFBP2,0,2.21961863099522,0.868,0.211,0,CD4+ effector T cell,FGFBP2
GZMA,0,1.54632692383975,0.95,0.388,0,CD4+ effector T cell,GZMA
GNLY,0,1.98572731126979,0.873,0.314,0,CD4+ effector T cell,GNLY
NKG7,0,1.58569010280345,0.986,0.448,0,CD4+ effector T cell,NKG7
CST7,0,1.18980016139023,0.908,0.379,0,CD4+ effector T cell,CST7
CCL5,0,1.28957502865592,0.988,0.463,0,CD4+ effector T cell,CCL5
HOPX,0,1.9281576913461,0.745,0.247,0,CD4+ effector T cell,HOPX
PRF1,0,1.53789125873122,0.784,0.297,0,CD4+ effector T cell,PRF1
GZMB,0,1.56544372737849,0.688,0.224,0,CD4+ effector T cell,GZMB
CCL4,0,1.63673804868059,0.668,0.217,0,CD4+ effector T cell,CCL4
LGALS1,0,1.72538390361433,0.793,0.35,0,CD4+ effector T cell,LGALS1
ZEB2,0,1.48171043305838,0.641,0.217,0,CD4+ effector T cell,ZEB2
ITGB1,0,1.55034738971308,0.862,0.449,0,CD4+ effector T cell,ITGB1
TCF7,0,-2.29471890474639,0.163,0.569,0,CD4+ effector T cell,TCF7
CD27,0,-3.20749210699826,0.063,0.466,0,CD4+ effector T cell,CD27
PLEK,0,1.48964410343566,0.618,0.226,0,CD4+ effector T cell,PLEK
LEF1,0,-2.82658004230887,0.116,0.507,0,CD4+ effector T cell,LEF1
EFHD2,0,1.58323669385679,0.667,0.282,0,CD4+ effector T cell,EFHD2
C12orf75,0,1.43967474937014,0.733,0.348,0,CD4+ effector T cell,C12orf75
RCAN3,0,-2.98808956778866,0.067,0.449,0,CD4+ effector T cell,RCAN3
HLA-DRB1,0,1.41576170697287,0.665,0.295,0,CD4+ effector T cell,HLA-DRB1
SELL,0,-2.3870818521713,0.133,0.502,0,CD4+ effector T cell,SELL
LTB,0,-2.22884232005338,0.428,0.795,0,CD4+ effector T cell,LTB
HLA-DPB1,0,1.29615791705768,0.797,0.439,0,CD4+ effector T cell,HLA-DPB1
CAMK4,0,-2.10251109623114,0.199,0.547,0,CD4+ effector T cell,CAMK4
